"year","census_tract","v_houses"
2010,36119013304,"419140000"
2011,36119013304,"373212500"
2012,36119013304,"328184700"
2013,36119013304,"301242000"
2014,36119013304,"247277900"
2015,36119013304,"238903800"
2016,36119013304,"263997500"
2017,36119013304,"307968000"
2018,36119013304,"305564000"
2019,36119013304,"374412000"
2020,36119013304,"408365000"
