"year","census_tract","v_houses"
2010,9011702900,"570800000"
2011,9011702900,"555312500"
2012,9011702900,"526918900"
2013,9011702900,"533113800"
2014,9011702900,"512068300"
2015,9011702900,"500822400"
2016,9011702900,"471938900"
2017,9011702900,"437099000"
2018,9011702900,"433005000"
2019,9011702900,"447316000"
2020,9011702900,"446105000"
