"year","census_tract","v_houses"
2010,9009190100,"525745000"
2011,9009190100,"531847500"
2012,9009190100,"486802200"
2013,9009190100,"414143800"
2014,9009190100,"392130200"
2015,9009190100,"366151200"
2016,9009190100,"379789500"
2017,9009190100,"386516800"
2018,9009190100,"409092800"
2019,9009190100,"443448000"
2020,9009190100,"464750000"
