"year","census_tract","v_houses"
2010,36061015500,"2442432500"
2011,36061015500,"2312307500"
2012,36061015500,"2261614000"
2013,36061015500,"2319964000"
2014,36061015500,"2575868800"
2015,36061015500,"2884944300"
2016,36061015500,"3177252300"
2017,36061015500,"3737397300"
2018,36061015500,"3853673800"
2019,36061015500,"3905700200"
