"year","census_tract","v_houses"
2010,36087010701,"239077500"
2011,36087010701,"239895000"
2012,36087010701,"298589000"
2013,36087010701,"307509000"
2014,36087010701,"251526000"
2015,36087010701,"275037000"
2016,36087010701,"235169000"
2017,36087010701,"166397000"
2018,36087010701,"195642000"
2019,36087010701,"187316000"
2020,36087010701,"192344000"
