"year","census_tract","v_houses"
2010,36103158207,"1005065000"
2011,36103158207,"963015000"
2012,36103158207,"977909000"
2013,36103158207,"914456000"
2014,36103158207,"896874900"
2015,36103158207,"897458900"
2016,36103158207,"843747300"
2017,36103158207,"855405300"
2018,36103158207,"837302900"
2019,36103158207,"934719600"
2020,36103158207,"1077584200"
