"year","census_tract","v_houses"
2010,34023003401,"332715000"
2011,34023003401,"319435000"
2012,34023003401,"306883900"
2013,34023003401,"298733800"
2014,34023003401,"276791700"
2015,34023003401,"274509300"
2016,34023003401,"264126500"
2017,34023003401,"253226000"
2018,34023003401,"260622800"
2019,34023003401,"283163900"
2020,34023003401,"286591600"
