"year","census_tract","v_houses"
2010,36059517000,"837575000"
2011,36059517000,"791720000"
2012,36059517000,"829332900"
2013,36059517000,"745217000"
2014,36059517000,"717588000"
2015,36059517000,"754969600"
2016,36059517000,"818265000"
2017,36059517000,"786186600"
2018,36059517000,"802800400"
2019,36059517000,"840656800"
2020,36059517000,"889038400"
