"year","census_tract","v_houses"
2010,36061031900,"-"
2011,36061031900,"-"
2012,36061031900,"-"
2013,36061031900,"-"
2014,36061031900,"-"
2015,36061031900,"-"
2016,36061031900,"-"
2017,36061031900,"-"
2018,36061031900,"-"
2019,36061031900,"-"
2020,36061031900,"-"
