"year","census_tract","v_houses"
2010,34025990000,"-"
2011,34025990000,"-"
2012,34025990000,"-"
2013,34025990000,"-"
2014,34025990000,"-"
2015,34025990000,"-"
2016,34025990000,"-"
2017,34025990000,"-"
2018,34025990000,"-"
2019,34025990000,"-"
2020,34025990000,"-"
