"year","census_tract","v_houses"
2010,44009041500,"352412500"
2011,44009041500,"345612500"
2012,44009041500,"358103000"
2013,44009041500,"349361400"
2014,44009041500,"356715600"
2015,44009041500,"381104600"
2016,44009041500,"367954600"
2017,44009041500,"355525800"
2018,44009041500,"377535000"
2019,44009041500,"341790000"
2020,44009041500,"275845000"
