"year","census_tract","v_houses"
2010,9001074400,"120490000"
2011,9001074400,"112977500"
2012,9001074400,"81261300"
2013,9001074400,"62503400"
2014,9001074400,"53012500"
2015,9001074400,"59794900"
2016,9001074400,"51485700"
2017,9001074400,"59762600"
2018,9001074400,"68914200"
2019,9001074400,"62389000"
2020,9001074400,"87982000"
