"year","census_tract","v_houses"
2010,9001080500,"518612500"
2011,9001080500,"478312500"
2012,9001080500,"479533300"
2013,9001080500,"443151900"
2014,9001080500,"425132900"
2015,9001080500,"429646400"
2016,9001080500,"418524300"
2017,9001080500,"405974200"
2018,9001080500,"413722100"
2019,9001080500,"405176800"
2020,9001080500,"464054700"
