"year","census_tract","v_houses"
2010,36047030400,"407010000"
2011,36047030400,"318240000"
2012,36047030400,"288711000"
2013,36047030400,"314631600"
2014,36047030400,"295690600"
2015,36047030400,"306109900"
2016,36047030400,"375169900"
2017,36047030400,"374412900"
2018,36047030400,"428268000"
2019,36047030400,"409134000"
2020,36047030400,"412821500"
