"year","census_tract","v_houses"
2010,44009051102,"343605000"
2011,44009051102,"341795000"
2012,44009051102,"343020500"
2013,44009051102,"302717600"
2014,44009051102,"299148800"
2015,44009051102,"299299400"
2016,44009051102,"291884400"
2017,44009051102,"311280600"
2018,44009051102,"357016800"
2019,44009051102,"395040200"
2020,44009051102,"399487000"
