,V1,V2,V3
1,2009,337,66317800
2,2010,343,77047500
3,2011,359,74715000
4,2012,367,78467500
5,2013,385,83683400
6,2014,346,73182000
7,2015,335,73106000
8,2016,324,71808600
9,2017,306,71959900
10,2018,291,67586600
11,2019,281,65457100
12,2020,291,68772800
13,2021,273,73908600
