"","V1","V2","V3"
"1",2009,113,26050800
"2",2010,123,28836100
"3",2011,127,29671000
"4",2012,151,35257700
"5",2013,215,48691500
"6",2014,222,51153200
"7",2015,249,57349500
"8",2016,229,53677900
"9",2017,238,56621100
"10",2018,240,57580100
"11",2019,239,57606700
"12",2020,236,56999100
"13",2021,229,56004100
