,V1,V2,V3
1,2009,463,99833100
2,2010,476,101861900
3,2011,502,108200300
4,2012,500,110235800
5,2013,512,111571400
6,2014,481,107982400
7,2015,451,101549200
8,2016,458,103758100
9,2017,441,99637600
10,2018,417,95286900
11,2019,391,89503500
12,2020,400,91253200
13,2021,354,82410200
