,V1,V2,V3
1,2009,925,198404700
2,2010,918,206030200
3,2011,955,213210900
4,2012,950,208763600
5,2013,1366,258773500
6,2014,1086,219431400
7,2015,1019,209156900
8,2016,888,205324300
9,2017,830,194935100
10,2018,858,201186700
11,2019,834,199678300
12,2020,815,198194100
13,2021,792,195196700
