,V1,V2,V3
1,2009,187,41350500
2,2010,206,45825800
3,2011,228,50380000
4,2012,213,47658400
5,2013,242,53772500
6,2014,237,54127100
7,2015,220,50508100
8,2016,206,47830500
9,2017,208,49070100
10,2018,195,45998200
11,2019,187,44407000
12,2020,189,45203100
13,2021,183,43744700
