,V1,V2,V3
1,2009,2,5.00E+05
2,2010,2,5.00E+05
3,2011,3,575000
4,2012,2,325000
5,2013,2,250000
6,2014,1,250000
7,2015,1,250000
8,2016,2,250000
9,2017,1,250000
10,2018,1,250000
11,2019,1,250000
12,2020,2,5.00E+05
13,2021,2,5.00E+05
