,V1,V2,V3
1,2009,17,3810000
2,2010,16,3560000
3,2011,16,3794000
4,2012,17,4284000
5,2013,12,3020000
6,2014,13,3270000
7,2015,12,3020000
8,2016,13,2780000
9,2017,14,3530000
10,2018,12,3030000
11,2019,11,2780000
12,2020,11,2560000
13,2021,10,2550000
