,V1,V2,V3
1,2009,10,1741600
2,2010,8,1298300
3,2011,10,1875000
4,2012,9,1420000
5,2013,5,930000
6,2014,3,480000
7,2015,3,550000
8,2016,5,1075000
9,2017,2,350000
10,2018,2,375000
11,2019,2,4.00E+05
12,2020,2,450000
13,2021,2,5.00E+05
