,V1,V2,V3
1,2009,8,1366100
2,2010,6,1652700
3,2011,6,1693000
4,2012,4,1193000
5,2013,5,1500000
6,2014,6,1750000
7,2015,6,1750000
8,2016,5,1500000
9,2017,4,1250000
10,2018,4,1250000
11,2019,4,1250000
12,2020,4,1250000
13,2021,4,1300000
