,V1,V2,V3
1,2009,6,8.00E+05
2,2010,4,8.00E+05
3,2011,5,550000
4,2012,5,550000
5,2013,8,650000
6,2014,7,6.00E+05
7,2015,6,6.00E+05
8,2016,7,1310000
9,2017,5,1180000
10,2018,8,2430000
11,2019,6,1950000
12,2020,8,2600000
13,2021,8,2550000
