,V1,V2,V3
1,2009,15,5832500
2,2010,20,7478000
3,2011,15,5600500
4,2012,23,8100500
5,2013,47,10120500
6,2014,45,11068000
7,2015,71,18275400
8,2016,65,21181900
9,2017,58,18909400
10,2018,60,19709200
11,2019,62,20755100
12,2020,54,17765700
13,2021,55,17821300
