census_tract,Surge_threshold,Rain_threshold,alpha_d,alpha_a,alpha_p,alpha_r,mew_a,mew_p,U_rate,POT_S_max,POT_R_max
36083040800,0.44,0.12,9.20,25.00,0.47,0.00,0.04,0.02,0.36,3.50,0.14
36083040900,1.32,0.11,4.19,0.00,1.14,0.00,0.01,0.02,0.01,0.76,0.05
36083041000,1.72,0.09,17.95,4.62,0.40,0.54,0.03,1.88,2.48,1.07,0.02
36083051500,1.99,0.11,19.15,15.65,1.24,0.31,0.02,0.65,2.01,3.05,0.00
36083051600,3.49,0.15,23.15,25.00,7.58,0.01,0.11,0.00,0.01,0.71,0.15
36083052301,2.04,0.07,11.10,9.88,6.63,0.81,0.13,1.58,2.68,1.85,0.07
36083052404,3.39,0.07,21.31,8.03,0.13,1.00,0.12,0.14,0.34,2.59,0.00
36083052501,1.98,0.11,9.41,3.78,6.29,0.12,0.09,1.49,2.03,1.32,0.05
36083052503,0.53,0.13,10.69,16.35,0.00,0.00,0.05,0.00,0.09,3.50,0.14
36085000300,2.53,0.15,20.75,1.67,5.95,0.65,0.12,0.00,0.10,1.55,0.15
36085000600,2.17,0.15,18.67,1.31,2.34,0.04,0.09,0.10,0.02,0.61,0.15
36085000700,1.64,0.09,18.74,0.00,0.00,0.04,0.16,1.14,2.87,0.96,0.09
36085002100,1.84,0.15,13.72,1.79,1.02,0.23,0.07,0.10,0.40,1.09,0.05
36085007000,2.06,0.12,13.81,6.12,0.00,0.22,0.11,0.08,0.59,0.67,0.15
36085007400,2.66,0.15,16.96,2.84,1.33,0.27,0.14,0.04,0.41,0.41,0.15
36085008100,1.65,0.09,17.31,0.00,6.28,0.23,0.12,0.33,2.80,1.95,0.14
36085009700,2.66,0.15,10.64,2.96,0.01,0.06,0.05,0.07,0.11,2.68,0.15
36085011201,2.16,0.15,9.15,6.07,1.57,0.61,0.07,0.09,0.06,1.24,0.11
36085011202,2.71,0.15,5.45,5.89,9.99,0.32,0.00,0.04,0.01,0.18,0.11
36085012804,2.55,0.15,7.32,5.38,4.66,0.87,0.02,0.09,0.01,0.75,0.15
36085012805,2.08,0.14,16.53,2.02,4.91,0.23,0.13,1.56,0.38,0.55,0.04
36085012806,2.80,0.13,10.68,4.94,1.20,0.65,0.07,1.27,0.78,1.77,0.12
36085015603,2.14,0.15,7.29,7.75,2.41,0.11,0.03,0.18,0.02,0.40,0.10
36085017600,2.69,0.08,7.96,3.40,10.00,0.01,0.03,0.10,0.96,0.01,0.04
36085019800,1.75,0.07,9.89,24.82,10.00,0.00,0.05,0.04,0.45,0.13,0.04
36085020700,2.03,0.10,24.97,5.44,10.00,0.01,0.18,0.28,0.20,0.26,0.02
36085020801,1.62,0.04,18.44,25.00,3.43,0.00,0.09,0.54,0.37,0.33,0.15
36085022300,2.32,0.15,14.54,5.52,7.75,0.58,0.08,0.00,0.40,1.94,0.15
36085022600,2.68,0.15,16.75,25.00,0.13,0.05,0.09,0.02,0.22,2.99,0.15
36085024401,1.45,0.04,12.91,17.39,5.85,0.00,0.07,0.90,0.62,3.50,0.15
36085024402,2.16,0.15,6.54,0.83,0.00,0.08,0.01,0.07,0.09,0.98,0.15
36085024800,2.62,0.15,13.05,5.46,0.08,0.06,0.07,0.03,0.05,2.62,0.15
36085029102,2.22,0.14,20.89,17.58,0.00,0.02,0.16,0.07,0.24,0.52,0.15
36085031902,1.85,0.15,16.97,3.41,1.53,0.11,0.10,0.03,0.20,3.07,0.15
36085032300,1.64,0.12,17.16,0.00,6.37,0.48,0.08,1.60,0.45,2.05,0.02
36087010101,1.65,0.09,22.64,0.00,3.44,0.70,0.08,1.50,1.83,2.80,0.05
36087010200,2.00,0.15,19.63,9.44,0.50,0.10,0.14,0.28,0.30,1.31,0.15
36087010602,1.91,0.15,16.47,0.13,5.15,0.09,0.08,0.01,0.27,0.00,0.15
36087010701,3.40,0.14,13.11,0.00,2.36,0.80,0.12,0.97,1.69,3.46,0.11
36087010703,1.28,0.09,25.00,4.84,0.00,0.01,0.14,0.04,0.03,2.58,0.04
36087010902,3.50,0.08,17.84,25.00,2.22,0.15,0.11,0.01,0.43,0.05,0.11
36087011000,1.75,0.15,15.20,25.00,1.07,0.05,0.08,0.00,0.30,3.27,0.15
36087013003,3.39,0.15,12.73,10.55,9.98,0.04,0.05,0.04,0.01,0.20,0.15
36087013100,2.05,0.15,19.44,2.82,4.51,0.03,0.10,0.02,0.03,0.88,0.15
36087013200,2.05,0.15,16.45,8.05,0.03,0.02,0.08,0.03,0.06,2.52,0.15
36087013300,1.88,0.12,15.84,14.10,10.00,0.17,0.13,0.26,0.44,3.41,0.15
36087013402,1.71,0.08,11.20,4.75,10.00,0.02,0.06,0.00,0.65,0.27,0.03
36103110101,1.76,0.11,22.00,22.75,10.00,0.01,0.14,0.00,0.28,2.98,0.15
36103110102,2.01,0.11,16.51,25.00,10.00,0.40,0.11,0.00,0.48,0.00,0.15
36103110300,2.10,0.15,12.23,0.78,10.00,0.15,0.04,0.10,0.33,0.02,0.15
36103110401,2.08,0.15,12.76,5.90,9.38,0.00,0.05,0.10,0.01,0.57,0.15
36103110402,1.91,0.15,16.17,25.00,6.73,0.05,0.06,0.00,0.32,0.00,0.15
36103110501,2.70,0.15,9.30,7.90,10.00,0.07,0.04,0.08,0.04,3.36,0.15
36103110600,2.03,0.11,10.49,0.00,6.67,0.12,0.06,0.00,0.95,0.03,0.15
36103110801,1.99,0.15,7.30,17.76,10.00,0.15,0.01,0.00,0.01,1.28,0.15
36103110803,2.11,0.15,13.17,7.75,10.00,0.38,0.05,0.05,0.32,0.03,0.15
36103134703,1.95,0.15,20.68,0.00,0.00,0.01,0.06,0.03,0.24,0.00,0.15
36103134704,2.93,0.11,11.45,19.99,0.25,0.30,0.10,1.64,1.77,2.31,0.06
36103135004,1.99,0.14,8.22,25.00,7.57,0.98,0.04,0.62,1.59,0.96,0.14
36103158001,1.75,0.08,7.41,25.00,10.00,0.00,0.03,0.00,0.77,0.21,0.06
36103158002,1.65,0.15,15.75,0.06,2.77,0.00,0.06,0.02,0.01,0.45,0.15
36103158207,3.49,0.09,16.25,22.32,2.21,0.02,0.10,0.01,0.40,3.48,0.14
36103158304,1.98,0.15,14.60,2.71,9.39,0.00,0.06,0.78,0.02,0.19,0.05
36103158317,2.09,0.05,11.24,0.00,0.41,0.40,0.08,0.80,2.74,3.39,0.11
36103158402,1.67,0.14,9.96,12.96,4.71,0.21,0.08,0.75,3.00,1.71,0.11
36103158407,3.50,0.09,13.91,22.02,2.43,0.56,0.08,0.00,0.62,0.93,0.06
36103158408,3.50,0.15,20.76,0.00,9.85,0.97,0.09,0.74,0.35,3.50,0.04
36103169701,1.70,0.12,17.41,0.00,2.03,0.00,0.06,0.06,0.02,0.28,0.15
36103169703,2.37,0.09,15.12,19.42,2.82,0.00,0.07,0.00,0.02,0.35,0.15
36103169901,2.55,0.12,16.10,13.47,6.78,0.00,0.08,0.00,0.02,0.24,0.15
36103169902,2.98,0.15,9.89,10.29,3.19,0.03,0.05,0.00,0.44,0.10,0.15
36103170001,1.95,0.15,9.09,7.62,9.92,0.12,0.03,0.20,0.13,3.27,0.15
36103170002,2.00,0.15,6.72,0.00,9.64,0.06,0.01,0.37,0.11,2.70,0.15
36103170201,2.03,0.15,8.67,25.00,7.98,0.05,0.03,0.05,0.06,3.02,0.15
36103170202,2.26,0.12,16.46,25.00,0.01,0.02,0.12,0.14,0.23,0.57,0.15
36103180300,2.01,0.15,7.03,25.00,8.37,0.08,0.02,1.74,0.92,3.50,0.12
36103200902,1.76,0.15,8.90,17.96,8.23,0.07,0.04,0.01,0.71,3.50,0.15
36103201001,2.53,0.10,6.40,10.58,1.93,0.00,0.01,0.01,0.09,0.19,0.15
36103201003,2.71,0.12,16.14,25.00,10.00,0.11,0.11,0.00,0.41,3.21,0.07
36103201004,2.16,0.07,6.03,25.00,10.00,0.00,0.02,0.13,0.11,0.13,0.07
36111950100,2.45,0.11,7.85,24.72,5.60,0.66,0.08,1.43,2.63,3.30,0.13
36111950200,1.71,0.15,16.13,2.01,10.00,0.13,0.09,0.00,0.16,2.04,0.15
36111950300,1.43,0.14,23.28,0.85,0.81,0.04,0.14,0.80,0.16,3.50,0.00
36111951300,1.65,0.12,0.00,25.00,10.00,0.00,0.10,0.00,0.03,3.50,0.00
36111951400,3.25,0.12,25.00,14.29,4.78,0.48,0.30,0.07,0.23,2.18,0.10
36111951700,1.99,0.15,14.53,0.91,8.21,0.75,0.08,0.00,0.45,0.11,0.15
36111952500,1.91,0.15,21.49,18.25,4.84,0.07,0.10,0.00,0.31,0.00,0.15
36111952600,1.93,0.12,17.99,20.11,6.00,0.35,0.07,0.97,1.45,2.18,0.09
36111953600,1.29,0.15,24.90,25.00,10.00,0.00,0.15,0.00,0.05,0.80,0.15
36111953700,1.45,0.15,18.00,25.00,0.00,0.00,0.09,0.00,0.12,3.50,0.15
36111953800,1.76,0.12,15.54,3.48,10.00,0.39,0.12,0.00,0.52,1.86,0.08
36111954900,1.90,0.12,8.79,25.00,1.65,0.96,0.05,0.05,1.45,0.02,0.00
36119000103,1.74,0.09,25.00,0.00,0.00,0.98,0.22,0.06,0.01,0.04,0.00
36119000202,0.18,0.03,25.00,2.41,0.00,0.00,0.18,0.03,0.01,3.36,0.15
36119000203,2.51,0.14,13.10,9.75,7.31,0.16,0.23,1.16,1.22,3.50,0.13
36119000401,2.70,0.15,23.03,1.35,8.96,0.09,0.11,0.00,0.03,1.35,0.15
36119000402,1.46,0.15,25.00,0.00,0.00,1.00,0.20,0.17,0.01,0.00,0.15
36119000701,3.50,0.08,17.79,0.00,2.36,0.00,0.11,0.00,0.33,3.50,0.07
36119000702,3.29,0.14,25.00,1.75,3.78,0.06,0.13,1.25,0.01,3.43,0.01
36119005701,1.81,0.08,14.26,12.60,10.00,0.00,0.08,0.00,0.37,0.14,0.02
36119005902,1.73,0.15,8.29,7.42,4.64,0.59,0.04,0.04,1.19,1.38,0.06
36119006900,3.26,0.11,17.86,0.00,3.95,0.40,0.12,0.00,0.40,3.23,0.06
36119007000,1.76,0.10,9.05,0.00,9.99,0.11,0.04,0.00,1.22,0.12,0.12
36119007100,1.89,0.11,21.83,5.74,10.00,0.22,0.18,0.24,0.32,2.60,0.10
36119007200,1.76,0.10,8.34,18.25,10.00,0.10,0.04,0.26,1.17,1.15,0.15
36119007402,1.85,0.15,7.90,4.87,0.00,0.11,0.01,0.00,0.01,3.15,0.15
36119007500,1.80,0.09,7.93,0.00,2.62,0.13,0.03,0.00,1.70,0.00,0.15
36119007600,1.73,0.08,9.02,20.04,10.00,0.01,0.05,0.26,0.80,0.38,0.06
36119010300,1.76,0.09,23.79,2.32,0.01,0.00,0.15,0.10,0.07,0.10,0.15
36119010400,2.17,0.15,18.61,1.59,2.13,0.38,0.10,0.00,0.33,0.48,0.15
36119010500,3.22,0.05,20.81,0.00,0.35,0.36,0.09,0.05,0.35,2.13,0.03
36119011300,2.05,0.08,10.64,0.00,2.94,0.04,0.05,0.00,0.72,0.01,0.15
36119011400,2.99,0.09,25.00,16.64,8.93,0.99,0.08,1.47,2.66,1.08,0.11
36119011500,1.73,0.12,18.11,12.38,2.05,0.00,0.10,0.01,0.09,0.25,0.07
36119011600,0.34,0.14,25.00,1.76,0.00,0.01,0.15,0.03,0.10,2.69,0.00
36119011700,2.01,0.15,15.41,25.00,0.03,0.00,0.08,0.05,0.05,0.98,0.15
36119011800,1.65,0.08,11.83,17.53,10.00,0.01,0.06,0.00,0.53,0.80,0.05
36119013201,1.69,0.08,12.25,0.00,10.00,0.01,0.06,0.00,0.58,3.50,0.15
36119013301,1.63,0.15,17.99,1.48,0.70,0.02,0.09,0.00,0.11,1.14,0.15
36119013304,1.91,0.07,21.08,25.00,0.95,0.39,0.12,0.00,0.34,0.00,0.12
36119013600,0.90,0.13,16.32,16.43,0.50,0.00,0.10,0.03,0.01,1.68,0.11
36119013800,1.80,0.15,14.76,25.00,9.11,0.33,0.07,0.00,0.53,0.00,0.15
36119013900,3.19,0.08,10.68,19.54,3.92,0.02,0.07,1.11,2.51,1.21,0.09
36119014000,2.71,0.07,8.87,10.36,6.77,0.03,0.11,0.72,2.48,3.29,0.05
36119014100,1.98,0.10,9.54,21.88,3.24,0.35,0.12,1.02,1.40,1.34,0.15
36119014200,1.92,0.14,21.00,3.74,6.78,0.04,0.14,1.36,0.25,0.78,0.11
36119014604,1.76,0.15,14.27,0.92,2.36,0.63,0.09,0.01,0.54,2.33,0.15
36119014605,2.49,0.13,19.40,15.38,9.83,0.40,0.13,0.85,1.08,1.87,0.13
36119014701,1.91,0.15,18.54,0.00,5.71,0.05,0.07,0.00,0.31,0.00,0.15
44009041500,3.08,0.15,8.80,21.37,8.79,0.89,0.04,0.06,1.26,0.44,0.15
44009051000,2.16,0.15,6.03,6.35,9.23,0.37,0.00,0.09,0.01,1.26,0.15
44009051101,2.80,0.15,5.49,16.08,0.03,0.06,0.01,0.06,2.18,2.06,0.15
44009051102,2.31,0.13,10.64,25.00,0.01,0.13,0.07,0.06,0.95,0.34,0.15
44009051302,2.34,0.13,10.73,25.00,10.00,0.03,0.06,0.07,0.11,0.77,0.15
44009051504,2.97,0.15,6.20,25.00,0.02,0.08,0.01,0.02,0.03,0.96,0.15
