FIPS,Mean Elevation
36119000103,13.71177184
36119000104,0.225736874
36119000202,6.957429173
36119000203,24.80379181
36119000401,8.302248221
36119000402,8.411836442
36119000701,77.15307281
36119000702,4.326797577
36119013301,9.578581148
36119014605,46.74506785
36001001100,17.0452069
36005030100,53.35802757
36005030900,11.54400624
36047000301,11.15883775
36047003400,7.634629732
36047005602,9.986199348
36047016200,13.78896835
36047017600,5.913362149
36047028600,6.364892315
36047029200,5.37978799
36047030400,1.833812925
36047033000,1.19626207
36047035200,1.390366682
36061000700,3.926604374
36061001300,4.830702218
36061006900,0.761241056
36061017500,11.41355639
36061019900,14.64097487
36061020500,10.6316207
36061021100,9.884700914
36061022301,15.95792911
36061022302,6.730865826
36061022500,14.19170913
36061026500,54.81397724
36061028700,9.74761673
36083040700,29.6703361
36085000300,8.409172065
36119011600,3.150392401
36119984000,10.25740827
36047029400,3.923370392
36061025500,13.07947814
36081099900,7.860327963
36119005600,4.090496962
9001011000,4.079301341
9001011100,10.11592439
9001011200,7.164784195
9001011300,8.461009509
9001021900,6.730275565
9001022100,3.22884568
9001022300,10.28165672
9001022400,8.651019555
9001030300,6.630533249
9001044300,8.699159712
9001044400,1.081108331
9001044600,7.665320762
9001050500,11.08324995
9001050600,11.34313849
9001060600,10.18134651
9001061500,2.76737568
9001061600,4.758266385
9001070100,5.232419711
9001074400,2.06649295
9001080500,2.095756731
9007610100,3.190475487
9007610200,7.017327009
9007670100,18.07687339
9007670200,2.353571563
9007680100,30.99086771
9009142800,8.353887967
9009150100,13.38034545
9009150200,6.73931674
9009150400,7.380427383
9009150500,1.887171504
9009150900,5.467146863
9009151000,6.916163234
9009151100,11.04276033
9009154500,6.210176246
9009154700,21.77650624
9009154800,21.50681501
9009155000,3.893698138
9009180100,4.82343914
9009184300,6.200130736
9009184400,3.565321449
9009184600,11.85275056
9009190100,4.684591345
9009190200,16.08864368
9009194100,5.198598052
9011660101,15.40651746
9011660102,22.86347297
9011693300,19.51446643
9011693500,13.54660067
9011702600,4.737776125
9011702900,7.629110585
9011705101,7.620630025
9011705200,15.99924275
9011870703,11.80040403
9011870704,5.64785645
36005013800,3.975875035
36005016000,5.181442251
36005051600,3.750554289
36059300500,15.94687622
36059301000,22.67875534
36059301101,4.439230248
36059301200,22.64038366
36059301500,16.86946823
36059517101,21.4687546
36059517400,37.88113076
36059517500,34.37702066
36059517801,28.02143554
36059517901,9.442240819
