"census_tract","Surge_threshold","Rain_threshold","alpha_d","alpha_a","alpha_p","alpha_r","mew_a","mew_p","U_rate","POT_S_max","POT_R_max"
"x_init40",9001022400,1.97776839472321,0.15,7.3221568051871,15.6910326954712,9.99936658035356,0.0926535361971011,0.015661892292073,0.0019664834320244,0.01,1.10210175099494,0.149990192736878
"x_init41",9001022400,1.96639648420718,0.15,6.92677280076305,8.02264412722175,10,0.0771888164699473,0.00677663914328475,0.508070890245332,0.0135525293716224,1.18298660113644,0.15
"x_init42",9001022400,1.96094477466764,0.149946545918497,6.49637977778586,4.74814093457816,10,0.121198721995431,0.00290666849170101,0.526355510815665,0.01,1.97303160784774,0.15
"x_init43",9001022400,1.98675881011723,0.15,7.72699309551031,19.1938881966665,10,0.0540389100479068,0.0207554113988434,0.001,0.01,0.593962195122357,0.149334831774463
"x_init44",9001022400,1.96806965749829,0.15,6.52564867776799,8.52337496944657,10,0.0558798350881836,0.00610077391307615,0.001,0.01,0.752992439627049,0.15
"x_init45",9001022400,1.97666044409285,0.15,6.91296058184171,12.4462179330828,10,0.0804488156695238,0.0101992278000447,0.001,0.0141155591247489,0.973704925433194,0.15
"x_init46",9001022400,1.97973252968106,0.15,7.56930901494693,17.4562689969529,10,0.1754705744456,0.0185555901365446,0.00731105642077821,0.01,2.08743298581902,0.149942334505257
"x_init47",9001022400,1.96155900173064,0.15,6.68099018509606,3.94029568958584,10,0.0474575048243081,0.00191964056263004,0.609926337703818,0.01,0.762789689384514,0.14998996570885
"x_init48",9001022400,1.95625350632847,0.15,6.45895420039078,5.10993858274654,9.96650561272854,0.144787805617919,0.00325930659969383,0.517088553520675,0.01,2.36553351638181,0.15
"x_init49",9001022400,1.89670837509829,0.15,6.71433531854831,9.99245004461676,0.001,0.0473083939686908,0.0106057776582465,0.648211258018047,0.01,0.851578915823918,0.149975230461463
"x_init50",9001022400,1.96472048792443,0.15,6.07822449891962,8.31326853672459,10,0.0747272470775599,0.0072353943035624,0.499305962631212,0.0240622124229718,1.17882924307564,0.15
"x_init51",9001022400,1.96588711843237,0.15,6.59169555192905,7.55044451084071,9.99853392372487,0.125772703034937,0.00627590400667239,0.505068863396892,0.0158468162808401,1.94529239267156,0.15
"x_init52",9001022400,1.96138986311177,0.15,5.25115914675135,1.22235777307924,10,0.230409931444333,0.00108783673821623,0.484781327911061,0.146991706616379,3.5,0.15
"x_init53",9001022400,1.89147165728707,0.15,5.68600663514731,5.89115145926679,0.001,0.047752523650556,0.00467773155979376,0.615641269913147,0.0110167720978281,0.889610097199785,0.149956723581216
"x_init54",9001022400,1.89500781786805,0.15,6.34139864744045,7.2739023029669,0.001,0.0681466611896163,0.00736331587642927,0.596057129648639,0.01,1.23309424882258,0.15
"x_init55",9001022400,1.96528791010083,0.15,7.23524453636519,7.48548080497252,9.98799707382232,0.0806457450884524,0.00619421193292531,0.520927118923918,0.01,1.25378671460453,0.15
"x_init56",9001022400,2.43890103294062,0.145869438750939,12.5499325335347,13.6732085834094,1.12278180494805,0.149858488271116,0.0958141371666902,0.090698721074684,0.643901113883204,1.74871315479253,0.15
"x_init57",9001022400,1.98408896209735,0.15,7.51324386969446,18.104117291991,10,0.180759549392813,0.0191160698172096,0.00126980175331224,0.01,2.03978304678848,0.149959882581949
"x_init58",9001022400,1.96633461970754,0.15,7.35406372259602,8.46766591886044,9.98646464667195,0.122552969271081,0.00736396716157713,0.496668001798831,0.01,1.88880847020696,0.15
"x_init59",9001022400,1.96717612120464,0.15,7.63000950910701,8.23990063505688,10,0.121166834985432,0.00701554964491215,0.497274464670974,0.01,1.83693286448538,0.15
"x_init60",9001022400,1.96460682890071,0.15,7.26721678794178,3.33630810500412,10,0.0842247171407808,0.0011199436237637,0.575635892771818,0.01,1.29977785713034,0.15
"x_init61",9001022400,1.96273584926353,0.15,5.81779347220829,8.32528167395026,9.99957219351327,0.203945851550885,0.00768517976641512,0.467719327161049,0.0455419500232694,3.21072856652305,0.15
"x_init62",9001022400,1.96907087786669,0.15,6.60052660767529,8.66749034886097,10,0.183888710528149,0.00580384078313937,0.001,0.01,2.44251288365574,0.15
"x_init63",9001022400,1.97702593520902,0.15,7.25313015196185,13.9334854985115,10,0.178703607038218,0.0130157175560053,0.001,0.01,2.16659519683055,0.14992697572054
"x_init64",9001022400,1.89156487804555,0.15,6.24107754367183,11.5966155234319,0.001,0.0847672401953185,0.0129280683865011,0.582612939435491,0.010261797059372,1.58544720549159,0.149954466657938
"x_init65",9001022400,1.96851127043064,0.15,7.74750589601465,7.64472538530052,10,0.143605295539614,0.00629927661464834,0.495891366912855,0.01,2.16073004037784,0.15
"x_init66",9001022400,1.88800604768796,0.15,5.46624201066793,7.28607554018644,0.001,0.00894552489466334,0.00644530498166863,0.788333879617299,0.01,0.171109154011199,0.148917222563988
"x_init67",9001022400,1.98672983675622,0.15,7.64201859852126,18.612221546946,10,0.114111430696383,0.0202080400616611,0.001,0.01,1.27548280893576,0.15
"x_init68",9001022400,1.97400910741135,0.15,6.64905608197756,10.4358801672279,10,0.202636561609839,0.00790182052674757,0.001,0.0146987261677901,2.541833377628,0.15
"x_init69",9001022400,3.29756180200702,0.144108929187332,15.8828918585808,13.6849082767231,6.35118840382002,0.540603997247173,0.126552616495024,0.00207613006638451,0.399233346397581,1.58571674494866,0.117485694014576
"x_init70",9001022400,1.89632910762346,0.15,6.64055976917671,9.00506656888018,0.001,0.120612679369826,0.00904654741901582,0.535717994987245,0.01,2.16701756570866,0.15
"x_init71",9001022400,1.96959744969815,0.15,7.89864960473812,8.03172819406443,10,0.106278606165739,0.00660395525498209,0.513295048857016,0.01,1.58209542072798,0.15
"x_init72",9001022400,1.96192112627226,0.15,6.78308148695829,6.54992320684972,9.99824763269123,0.102208400954781,0.00502746792789727,0.528964637961854,0.01,1.63425072240395,0.15
"x_init73",9001022400,1.97005133748489,0.15,6.61367334767902,9.07133213120065,10,0.132974033953789,0.00618385954357068,0.001,0.0127147400305507,1.72321882671486,0.15
"x_init74",9001022400,1.98259766713013,0.149978939367242,7.53248659615259,17.5829084010812,10,0.124715206214623,0.0186226597004539,0.00184698366040141,0.01,1.42749099191929,0.149879670136909
"x_init75",9001022400,1.96956078771971,0.15,6.99401752204963,3.52695927669999,10,0.0857668864504583,0.00155153511285069,0.568694597881921,0.0161858364096445,1.24921588288368,0.15
"x_init76",9001022400,1.93917513180263,0.101629280289291,7.48698706841118,24.7591942671767,10,0.182304069294292,0.0398252780180977,1.74309234757511,2.11418725934265,2.19033908662851,0.0494466503673553
"x_init77",9001022400,1.88966854307947,0.15,5.20390011085474,6.42637999704286,0.001,0.0217269093785019,0.00530803736450168,0.686239991021349,0.01,0.418485601354268,0.15
"x_init78",9001022400,1.96158525653964,0.15,6.6796345497351,3.00274543676572,10,0.089033135412035,0.001,0.573105303769397,0.0103024808924066,1.42706308840323,0.15
"x_init79",9001022400,1.86755012030674,0.00930055042572786,5.08212026516887,15.0321130382823,0.001,0.001,0.0200857419819723,0.435584626769183,0.0282259486633197,0.0226412987769133,0.15
"x_init80",9001022400,1.96740646554974,0.15,7.68660342271756,7.5968379676782,9.9974950411572,0.15845764016298,0.00622334341887803,0.488565676355471,0.01,2.39432637940257,0.15
"x_init81",9001022400,1.97414018113934,0.15,6.84956897854224,13.1038819356239,10,0.0920885351711392,0.0118050348465252,0.001,0.01,1.15480881097416,0.15
"x_init82",9001022400,1.97146231527763,0.15,6.7485532150212,12.0786252035804,9.98867799329836,0.101762849138956,0.0107090870207621,0.001,0.0111258160273636,1.2977401165744,0.14716358011463
"x_init83",9001022400,1.96828588888979,0.15,6.90789542328923,11.2512393210767,10,0.0986931956101296,0.0106211481990256,0.0109999395280926,0.01,1.34282247881317,0.15
"x_init84",9001022400,1.96204276422774,0.15,6.47817106899163,4.48866914933249,9.9893955697246,0.120754504576157,0.00254908950113366,0.538816656197536,0.0112191495427553,1.94531074714301,0.14988505843128
"x_init85",9001022400,1.96371909908926,0.15,7.15187912464711,6.74780226499893,10,0.153935428761711,0.00524102767319908,0.500483987358033,0.01,2.40415929848953,0.149996294365078
"x_init86",9001022400,1.96007396293161,0.15,6.57229507144259,4.3237716918011,9.99664308189675,0.0693982451879931,0.00244168071281189,0.578858007041215,0.01,1.12545723566615,0.15
"x_init87",9001022400,1.97279082581813,0.15,7.43776713977131,14.2576813352478,10,0.145821823842535,0.015021363543944,0.00824725259201696,0.01,1.84522728167325,0.15
"x_init88",9001022400,1.88059459653579,0.14963868203547,7.42424719457585,23.002834389954,0.00663533940896207,0.0140852969624928,0.0389458739176228,1.99834758676176,0.0137750725093167,0.278533468991577,0.147112778231528
"x_init89",9001022400,1.9695127564315,0.15,6.88206020472533,10.9841844799967,10,0.0505758383210093,0.0100860627376395,0.00970733458221039,0.01,0.686131384448626,0.15
"x_init90",9001022400,1.95248362063776,0.15,6.0600985524841,4.70529634194555,1.67685588446287,0.0268935887808318,0.00298180697206718,0.668772124276366,0.0111722438966166,0.460513364283471,0.15
"x_init91",9001022400,1.97130579867009,0.15,6.90603954497858,12.7039980497394,10,0.0560124538817976,0.0120882032258743,0.0107767624367276,0.01,0.754663406639589,0.15
"x_init92",9001022400,1.88502157218379,0.149112586299628,6.07007727385008,15.7437300721554,0.001,0.0119879485095216,0.0201861613858647,0.681837210728026,0.0175103065036899,0.236304261584738,0.14935623356251
"x_init93",9001022400,1.98537032624363,0.15,7.71623150516019,18.9540282422789,10,0.126949106666175,0.0206506569072263,0.001,0.01,1.39599127226577,0.149955990900231
"x_init94",9001022400,1.96581110131133,0.100669695121568,10.1978740961147,25,9.66961998523412,0.230106174359469,0.0728840637294188,1.57646050662705,0.950056709066518,3.46233866579421,0.125812561566583
"x_init95",9001022400,1.98230934689779,0.15,7.72325840606834,16.5733531852026,10,0.163867752016371,0.0170495272655319,0.001,0.01,1.87114656745629,0.15
"x_init96",9001022400,1.8962470884947,0.15,6.19700748448419,5.83504382079775,0.001,0.0874912170336566,0.00459630969138002,0.56386672898707,0.01,1.5787803848602,0.15
"x_init97",9001022400,1.95772330327721,0.15,7.61034020790835,8.03645250786034,4.9430059372199,0.0471976537335426,0.00751482938503158,0.58622427661977,0.01,0.74406412147016,0.149967864829784
"x_init98",9001022400,1.99130760316039,0.15,7.91338766824444,20.0540701365527,10,0.218570909744326,0.022431170607259,0.001,0.01,2.35338814333708,0.15
"x_init99",9001022400,2.43997342693868,0.0988875532745755,14.0376886246405,11.7703278627178,10,0.175242615688297,0.124567629189819,0.001,0.599168252133919,1.04247215085422,0.15
