"census_tract","W","L","D","R","U","A","P"
"1",9001022400,1.458,0,0.1,0,0.01,0.2,0.1
"2",9001022400,1.647,0,0.0997350676152485,0,0.01,0.19755395281495,0.0999
"3",9001022400,1.324,0,0.0994849731756493,0,0.01,0.195137821364057,0.0998001
"4",9001022400,1.257,9.8618976942478e-06,0.0992494452478511,9.9129520564234e-05,0.01,0.192817476230476,0.0788282850743869
"5",9001022400,1.397,0,0.0990278384430991,0,0.01,0.190459273005666,0.0787494567893125
"6",9001022400,1.802,0,0.0988202889447333,0,0.01,0.188129911162655,0.0786707073325232
"7",9001022400,1.665,0,0.0986265519916323,0,0.01,0.185829037964539,0.0785920366251906
"8",9001022400,1.452,0,0.0984463912038016,0,0.01,0.18355630498847,0.0785134445885654
"9",9001022400,1.723,0,0.0982795783041508,0,0.01,0.181311368072894,0.0784349311439769
"10",9001022400,1.333,0,0.0981258928505507,0,0.01,0.179093887265432,0.0783564962128329
"11",9001022400,1.455,0,0.0979851219777729,0,0.01,0.176903526771406,0.0782781397166201
"12",9001022400,1.418,0,0.0978570601489278,0,0.01,0.174739954902983,0.0781998615769034
"13",9001022400,1.86,0,0.0977415089160331,0,0.01,0.172602844028951,0.0781216617153265
"14",9001022400,2.174,0.00140682624632234,0.0976382766893582,0.0143933346428169,0.01,0.180205232744911,0.148075536705239
"15",9001022400,1.757,0,0.0974917926979546,0,0.01,0.178001280233476,0.147927461168534
"16",9001022400,1.479,0,0.0973580549003084,0,0.01,0.175824282581224,0.147779533707365
"17",9001022400,1.415,0,0.0972368622803911,0,0.01,0.173673910123867,0.147631754173658
"18",9001022400,1.463,0,0.0971280207670581,0,0.01,0.171549837228992,0.147484122419484
"19",9001022400,1.541,0,0.0970313430084196,0,0.01,0.169451742246743,0.147336638297065
"20",9001022400,1.552,0,0.096946648154461,0,0.01,0.16737930746112,0.147189301658767
"21",9001022400,1.469,0,0.0968737616475954,0,0.01,0.165332219041866,0.147042112357109
"22",9001022400,1.334,0,0.0968125150208349,0,0.01,0.163310166996938,0.146895070244752
"23",9001022400,1.358,0,0.0967627457032891,0,0.01,0.161312845125574,0.146748175174507
"24",9001022400,1.409,0,0.0967242968327009,0,0.01,0.159339950971914,0.146601426999332
"25",9001022400,1.536,0,0.0966970170747495,0,0.01,0.15739118577921,0.146454825572333
"26",9001022400,1.365,0,0.0966807604488562,0,0.01,0.155466254444575,0.146308370746761
"27",9001022400,1.489,0,0.0966753861602387,0,0.01,0.153564865474303,0.146162062376014
"28",9001022400,1.549,0,0.0966807584379744,0,0.01,0.151686730939723,0.146015900313638
"29",9001022400,1.552,0,0.0966967463788364,0,0.01,0.1498315664336,0.145869884413324
"30",9001022400,1.543,0,0.09672322379668,0,0.01,0.147999091027067,0.145724014528911
"31",9001022400,1.585,0,0.0967600690771644,0,0.01,0.146189027227083,0.145578290514382
"32",9001022400,1.911,0,0.0968071650376016,0,0.01,0.144401100934413,0.145432712223868
"33",9001022400,2.113,0.000903858762690906,0.0968643987917369,0.00933669281958449,0.01,0.149088401333644,0.185313250688127
"34",9001022400,3.501,0.00895340994291135,0.0968951247567157,0.092432411232548,0.01,0.21084025548618,0.687833257584514
"35",9001022400,1.464,0,0.0965761411465162,0,0.01,0.208261629419044,0.687145424326929
"36",9001022400,1.529,0,0.0962726559067158,0,0.01,0.205714540557072,0.686458278902602
"37",9001022400,1.478,0,0.0959843648219194,0,0.01,0.203198603192804,0.6857718206237
"38",9001022400,1.645,0,0.0957109741164004,0,0.01,0.200713436336075,0.685086048803076
"39",9001022400,1.54,0,0.0954522000959821,0,0.01,0.198258663656317,0.684400962754273
"40",9001022400,1.763,0,0.0952077688034296,0,0.01,0.195833913425575,0.683716561791519
"41",9001022400,1.503,0,0.0949774156868281,0,0.01,0.193438818462215,0.683032845229727
"42",9001022400,1.455,0,0.0947608852804412,0,0.01,0.19107301607532,0.682349812384497
"43",9001022400,1.591,0,0.094557930897564,0,0.01,0.18873614800977,0.681667462572113
"44",9001022400,1.458,0,0.1,0,0.0104619148803503,0.2,0.1
"45",9001022400,1.647,0,0.09975845314377,0,0.0104619148803503,0.199158210098035,0.0411375317012759
"46",9001022400,1.324,0,0.0995223940592413,0,0.0104619148803503,0.198319963247265,0.0169229651447348
"47",9001022400,1.257,5.11357104904721e-05,0.0992917694759361,0.000513811097229366,0.0104619148803503,0.197720317351377,0.00506595202156611
"48",9001022400,1.397,0,0.0990651453045623,0,0.0104619148803503,0.196888122518579,0.00208400761884319
"49",9001022400,1.802,0,0.0988438634636015,0,0.0104619148803503,0.196059430351813,0.000857309294858622
"50",9001022400,1.665,0,0.0986278734279027,0,0.0104619148803503,0.195234226108537,0.000352675882950451
"51",9001022400,1.452,0,0.0984171256439994,0,0.0104619148803503,0.194412495108256,0.000145082153151497
"52",9001022400,1.723,0,0.0982115715148691,0,0.0104619148803503,0.193594222732266,5.96832167455906e-05
"53",9001022400,1.333,0,0.0980111633849666,0,0.0104619148803503,0.192779394423392,2.45522022090586e-05
"54",9001022400,1.455,0,0.0978158545255264,0,0.0104619148803503,0.191967995685729,1.01001699671128e-05
"55",9001022400,1.418,0,0.0976255991201302,0,0.0104619148803503,0.191160012084386,4.1549606221038e-06
"56",9001022400,1.86,0,0.0974403522505354,0,0.0104619148803503,0.190355429245225,1.70924824309348e-06
"57",9001022400,2.174,0.00348411494363699,0.0972600698827604,0.0357563869912821,0.0104619148803503,0.205729964336163,0.0494428338637835
"58",9001022400,1.757,0,0.0969913582446628,0,0.0104619148803503,0.204864057303614,0.0203395614547231
