"yr" "precip_max"
"1" 1970 0.0544415092468262
"2" 1971 0.0711696243286133
"3" 1972 0.117330421447754
"4" 1973 0.0897334442138672
"5" 1974 0.0507514228820801
"6" 1975 0.0584922561645508
"7" 1976 0.0504458084106445
"8" 1977 0.0518533515930176
"9" 1978 0.0514224319458008
"10" 1979 0.073643913269043
"11" 1980 0.0546049995422363
"12" 1981 0.0515177116394043
"13" 1982 0.150416244506836
"14" 1983 0.0778860931396484
"15" 1984 0.0624320983886719
"16" 1985 0.0738090744018555
"17" 1986 0.0778881225585937
"18" 1987 0.0625646057128906
"19" 1988 0.0748172073364258
"20" 1989 0.0934704055786133
"21" 1990 0.110793029785156
"22" 1991 0.118350952148437
"23" 1992 0.0565008430480957
"24" 1993 0.0750192337036133
"25" 1994 0.0519637832641602
"26" 1995 0.0749277801513672
"27" 1996 0.0663616027832031
"28" 1997 0.0385714378356934
"29" 1998 0.0711144256591797
"30" 1999 0.0452176856994629
"31" 2000 0.0412719841003418
"32" 2001 0.0567381172180176
"33" 2002 0.0361518173217773
"34" 2003 0.0590935363769531
"35" 2004 0.0807182693481445
"36" 2005 0.142096557617188
"37" 2006 0.0874282455444336
"38" 2007 0.0547821846008301
"39" 2008 0.0933285598754883
"40" 2009 0.0795740814208984
"41" 2010 0.110929565429688
"42" 2011 0.0551886291503906
"43" 2012 0.0657851867675781
"44" 2013 0.114523513793945
"45" 2014 0.119342323303223
"46" 2015 0.0424332122802734
"47" 2016 0.043822151184082
"48" 2017 0.0676275024414063
"49" 2018 0.0831524429321289
"50" 2019 0.0777924652099609
"51" 2020 0.0356163673400879
"52" 2021 0.12135009765625
