"census_tract","RMSE_best"
"1",34003002100,0.497606100816886
"2",34003016000,1.82968531407282
"3",34003055100,5.79514633771495
"4",34017010800,0.983143473926734
"5",34017011400,1.26593185653512
"6",34017011500,1.05656444660217
"7",34023003401,0.261190381781886
"8",34023003600,0.930564156596056
"9",34023005000,0.813743992996696
"10",34023007402,0.775689143723515
"11",34023007500,0.269475438370996
"12",34023007600,0.144534510225744
"13",34023008001,0.747228954919628
"14",34023009100,0.570305905634108
"15",34025800100,1.29669941577498
"16",34025800200,0.208204148508448
"17",34025800400,0.299172781009239
"18",34025800500,0.399304326165573
"19",34025800601,0.384471547141274
"20",34025801600,0.252904775742414
"21",34025801700,0.784763100030066
"22",34025801800,0.682161531299599
"23",34025801900,0.486425180993958
"24",34025802500,1.33254736183845
"25",34025812100,0.926333874756138
"26",34039030500,2.60751812631288
"27",34039035400,0.708007354394542
"28",36001000100,5.25810704705838
"29",36001013100,6.41523251513562
"30",36001013400,6.63478487585976
"31",36001013602,4.6091640462196
"32",36001014401,5.1979220055253
"33",36021000500,1.74739384963901
"34",36021000600,4.18619661319651
"35",36021001100,5.54955563670798
"36",36021001900,5.69229446594875
"37",36021002000,0.309651774583173
"38",36027060202,2.64887701446903
"39",36027070201,0.826801218897283
"40",36027140500,1.22891284267153
"41",36027140602,6.64168581851882
"42",36027140801,0.400369825219656
"43",36027190301,5.07985934195406
"44",36027210201,2.15826151934255
"45",36039080100,1.97157892345171
"46",36039080600,5.10590188580662
"47",36039080700,1.89374259504271
"48",36039080900,1.35553313117459
"49",36047004400,4.78762527966309
"50",36047004600,3.24823848373866
"51",36047016800,6.63776062055591
"52",36047033600,0.234886810212987
"53",36071010102,1.94315905044675
"54",36071010200,4.7877190962906
"55",36071012700,0.364634517253479
"56",36071012800,3.73174240193959
"57",36071012900,3.28454312850527
"58",36071013100,4.13384556781747
"59",36071013700,0.814621244048275
"60",36071013800,6.64235296195653
"61",36079010600,4.46753171267678
"62",36079010700,0.6246464501286
"63",36081091601,1.03202395381114
"64",36083040800,4.26385326922166
"65",36083051600,4.90816208417703
"66",36083052301,6.6422353217134
"67",36083052404,5.9561696463485
"68",36083052501,6.51701394013929
"69",36085009700,0.787915626634673
"70",36085011201,0.640065908797278
"71",36085011202,0.298212663495093
"72",36085012804,0.333863653075495
"73",36085012805,0.972455626038084
"74",36085015603,0.359916717740865
"75",36085017600,0.919852825526616
"76",36085019800,1.07855106388662
"77",36085020801,2.67326137776611
"78",36085022300,1.28553183600861
"79",36085022600,1.0210292641989
"80",36085024401,2.02613917824713
"81",36085024402,0.369418067180467
"82",36085024800,0.52650143358342
"83",36085029102,0.591177803353727
"84",36087010101,3.97617344820967
"85",36087010200,0.549023632133367
"86",36087010602,4.55045949597923
"87",36087010902,1.71866309922249
"88",36087013100,0.494059892369564
"89",36087013300,0.729400426492146
"90",36087013402,1.73707147876171
"91",36111950100,4.57288755937052
"92",36111950200,1.34202149190465
"93",36111950300,0.385230317227615
"94",36111951400,1.85826490337595
"95",36111951700,1.05486764100163
"96",36111952500,2.04614367513291
"97",36111953700,6.17962363252944
"98",36111953800,3.07636068441375
"99",36111954900,4.09062872166399
"100",36119011300,1.00918977667276
"101",36119011400,6.09525455045703
"102",36119011500,1.18414754131395
"103",36119011700,0.960540422773974
"104",36119013304,2.67876512579097
"105",36119013600,4.80359985102175
"106",36119013800,3.4038447409938
"107",36119013900,5.36605389446044
"108",36119014000,1.04430313170302
"109",36119014100,5.68716115264082
"110",36119014200,0.779250066276428
"111",36119014604,1.03951051405379
"112",36119014701,2.74326301319536
"113",34003013001,0.713096826752892
"114",34003013002,1.53761525909934
"115",34003019102,7.00859005629174
"116",34017005802,0.163245356892987
"117",34017010300,1.14845219706514
"118",34017010400,3.11169493847257
"119",34017015001,1.17583864376243
"120",34017015201,1.74513346472353
"121",34017015801,1.21607264215203
"122",34017017900,0.614562540947824
"123",34017018302,1.01724199968531
"124",34023004500,0.440952219942288
"125",34023004600,0.401167032223477
"126",34039030600,5.73922774811922
"127",36001002500,3.43038957672557
"128",36001002600,0.142501480928114
"129",36001013200,6.24251730812498
"130",36001013601,6.64352857675087
"131",36001014301,5.08968425164068
"132",36021001200,6.6621982754943
"133",36027070101,4.15449208873042
