"year","census_tract","n_houses"
2010,36119000401,1564
2011,36119000401,1658
2012,36119000401,1715
2013,36119000401,1813
2014,36119000401,1851
2015,36119000401,1968
2016,36119000401,1972
2017,36119000401,2150
2018,36119000401,2007
2019,36119000401,2102
2020,36119000401,2097
