"year","census_tract","n_houses"
2010,36027140602,1067
2011,36027140602,1042
2012,36027140602,1048
2013,36027140602,1032
2014,36027140602,1051
2015,36027140602,1054
2016,36027140602,1059
2017,36027140602,1071
2018,36027140602,1090
2019,36027140602,1063
2020,36027140602,1104
