"year","census_tract","n_houses"
2010,9001070600,1181
2011,9001070600,1212
2012,9001070600,1289
2013,9001070600,1299
2014,9001070600,1338
2015,9001070600,1408
2016,9001070600,1441
2017,9001070600,1531
2018,9001070600,1573
2019,9001070600,1630
2020,9001070600,1655
