"year","census_tract","n_houses"
2010,36111951300,1849
2011,36111951300,1768
2012,36111951300,1759
2013,36111951300,1715
2014,36111951300,1748
2015,36111951300,1699
2016,36111951300,1729
2017,36111951300,1810
2018,36111951300,1880
2019,36111951300,1797
2020,36111951300,1816
