"year","census_tract","n_houses"
2010,34003016000,1687
2011,34003016000,1904
2012,34003016000,1982
2013,34003016000,1872
2014,34003016000,1955
2015,34003016000,1922
2016,34003016000,1930
2017,34003016000,1970
2018,34003016000,1977
2019,34003016000,2016
2020,34003016000,2090
