"year","census_tract","n_houses"
2010,36061001300,2814
2011,36061001300,2882
2012,36061001300,3038
2013,36061001300,3028
2014,36061001300,3079
2015,36061001300,3148
2016,36061001300,3185
2017,36061001300,3165
2018,36061001300,3240
2019,36061001300,3327
2020,36061001300,3174
