"year","census_tract","n_houses"
2010,36027140500,1269
2011,36027140500,1317
2012,36027140500,1304
2013,36027140500,1333
2014,36027140500,1425
2015,36027140500,1410
2016,36027140500,1428
2017,36027140500,1499
2018,36027140500,1494
2019,36027140500,1406
2020,36027140500,1404
