"year","census_tract","n_houses"
2010,36085022300,1015
2011,36085022300,1000
2012,36085022300,1014
2013,36085022300,985
2014,36085022300,1002
2015,36085022300,984
2016,36085022300,1014
2017,36085022300,1024
2018,36085022300,992
2019,36085022300,1012
2020,36085022300,1104
