"year","census_tract","n_houses"
2010,36061020500,1352
2011,36061020500,1331
2012,36061020500,1342
2013,36061020500,1296
2014,36061020500,1307
2015,36061020500,1259
2016,36061020500,1265
2017,36061020500,1259
2018,36061020500,1247
2019,36061020500,1304
2020,36061020500,1284
