"year","census_tract","n_houses"
2010,9009150900,1524
2011,9009150900,1488
2012,9009150900,1572
2013,9009150900,1587
2014,9009150900,1600
2015,9009150900,1612
2016,9009150900,1636
2017,9009150900,1655
2018,9009150900,1686
2019,9009150900,1713
2020,9009150900,1653
