"year","census_tract","n_houses"
2010,36103134704,897
2011,36103134704,918
2012,36103134704,926
2013,36103134704,942
2014,36103134704,958
2015,36103134704,956
2016,36103134704,979
2017,36103134704,1002
2018,36103134704,991
2019,36103134704,1009
2020,36103134704,1080
