"year","census_tract","n_houses"
2010,34003002100,747
2011,34003002100,736
2012,34003002100,740
2013,34003002100,727
2014,34003002100,721
2015,34003002100,672
2016,34003002100,644
2017,34003002100,627
2018,34003002100,599
2019,34003002100,610
2020,34003002100,572
