"year","census_tract","n_houses"
2010,36061000700,3400
2011,36061000700,4273
2012,36061000700,4916
2013,36061000700,5201
2014,36061000700,5422
2015,36061000700,5339
2016,36061000700,5276
2017,36061000700,5425
2018,36061000700,5689
2019,36061000700,5941
2020,36061000700,6130
