"year","census_tract","n_houses"
2010,36085001800,419
2011,36085001800,395
2012,36085001800,371
2013,36085001800,335
2014,36085001800,296
2015,36085001800,293
2016,36085001800,260
2017,36085001800,225
2018,36085001800,214
2019,36085001800,205
2020,36085001800,236
