"year","census_tract","n_houses"
2010,36071010102,1856
2011,36071010102,1882
2012,36071010102,1896
2013,36071010102,1874
2014,36071010102,1991
2015,36071010102,2029
2016,36071010102,2077
2017,36071010102,2134
2018,36071010102,2145
2019,36071010102,2162
2020,36071010102,1924
