"year","census_tract","n_houses"
2010,36071012700,1864
2011,36071012700,1904
2012,36071012700,1901
2013,36071012700,1865
2014,36071012700,1877
2015,36071012700,1866
2016,36071012700,1838
2017,36071012700,1826
2018,36071012700,1800
2019,36071012700,1797
2020,36071012700,1641
