"year","census_tract","n_houses"
2010,36083041000,2072
2011,36083041000,1971
2012,36083041000,1968
2013,36083041000,1949
2014,36083041000,1885
2015,36083041000,1895
2016,36083041000,1923
2017,36083041000,1947
2018,36083041000,1871
2019,36083041000,1927
2020,36083041000,1835
