"year","census_tract","n_houses"
2010,36021000600,1279
2011,36021000600,1302
2012,36021000600,1428
2013,36021000600,1324
2014,36021000600,1343
2015,36021000600,1333
2016,36021000600,1303
2017,36021000600,1278
2018,36021000600,1306
2019,36021000600,1285
2020,36021000600,1268
