"year","census_tract","n_houses"
2010,36119011300,2537
2011,36119011300,2573
2012,36119011300,2723
2013,36119011300,2765
2014,36119011300,2681
2015,36119011300,2611
2016,36119011300,2586
2017,36119011300,2559
2018,36119011300,2707
2019,36119011300,2678
2020,36119011300,2551
