"year","census_tract","n_houses"
2010,36001014401,1915
2011,36001014401,2029
2012,36001014401,1951
2013,36001014401,1862
2014,36001014401,1867
2015,36001014401,1883
2016,36001014401,1867
2017,36001014401,1947
2018,36001014401,1940
2019,36001014401,2064
2020,36001014401,2079
