"year","census_tract","n_houses"
2010,36061011700,1370
2011,36061011700,1608
2012,36061011700,1950
2013,36061011700,2304
2014,36061011700,2580
2015,36061011700,2908
2016,36061011700,2988
2017,36061011700,2934
2018,36061011700,2849
2019,36061011700,3195
2020,36061011700,3435
