"year","census_tract","n_houses"
2010,36083040700,2875
2011,36083040700,3003
2012,36083040700,3004
2013,36083040700,3108
2014,36083040700,2992
2015,36083040700,2896
2016,36083040700,2951
2017,36083040700,3096
2018,36083040700,3036
2019,36083040700,3072
