"year","census_tract","n_houses"
2010,36103135004,1130
2011,36103135004,1133
2012,36103135004,1148
2013,36103135004,1145
2014,36103135004,1151
2015,36103135004,1167
2016,36103135004,1205
2017,36103135004,1248
2018,36103135004,1226
2019,36103135004,1230
2020,36103135004,1241
