"year","census_tract","n_houses"
2010,36119007100,2143
2011,36119007100,2145
2012,36119007100,2131
2013,36119007100,2372
2014,36119007100,2253
2015,36119007100,2125
2016,36119007100,2147
2017,36119007100,2130
2018,36119007100,2033
2019,36119007100,2133
2020,36119007100,2265
