"year","census_tract","n_houses"
2010,36085011201,2174
2011,36085011201,2187
2012,36085011201,2175
2013,36085011201,2176
2014,36085011201,2177
2015,36085011201,2211
2016,36085011201,2188
2017,36085011201,2145
2018,36085011201,2100
2019,36085011201,2082
2020,36085011201,1954
