"year","census_tract","n_houses"
2010,36085007000,2763
2011,36085007000,2753
2012,36085007000,2820
2013,36085007000,2928
2014,36085007000,2884
2015,36085007000,2864
2016,36085007000,2860
2017,36085007000,2844
2018,36085007000,2870
2019,36085007000,2949
