"census_tract","W","L","D","R","U","A","P"
"1",34003002100,1.458,0,0.1,0,0.01,0.2,0.1
"2",34003002100,1.647,0,0.0964,0,0.01,0.168225199187699,0
"3",34003002100,1.324,0,0.0936076706113373,0,0.01,0.141498588208704,0
"4",34003002100,1.257,0.0380872451860591,0.0914547517139606,0.406881668321807,0.01,0.120191235591639,0
"5",34003002100,1.397,0,0.0897889636332795,0,0.01,0.101095972740096,0
"6",34003002100,1.802,0.000334729267525658,0.0885406674334561,0.00372795557472716,0.01,0.0850452456780712,0
"7",34003002100,1.665,0,0.0876318658896339,0,0.01,0.0715337669708015,0
"8",34003002100,1.452,0,0.0870015648404988,0,0.01,0.0601689109865475,0
"9",34003002100,1.723,0,0.086601049130995,0,0.01,0.0506096351780943,0
"10",34003002100,1.333,0,0.0863912401275348,0,0.01,0.0425690797932584,0
"11",34003002100,1.455,0,0.086340547177518,0,0.01,0.0358059596372896,0
"12",34003002100,1.418,0,0.0864232597946893,0,0.01,0.0301173234604487,0
"13",34003002100,1.86,0.000802449273902885,0.0866183296972566,0.00928510768755098,0.01,0.0253603858675218,0
"14",34003002100,2.174,0.0033639625277837,0.0869078851416692,0.038836612753227,0.01,0.0214489070018465,0
"15",34003002100,1.757,0,0.0872759151956369,0,0.01,0.0180412332637202,0
"16",34003002100,1.479,0,0.0877132176112757,0,0.01,0.0151749502969054,0
"17",34003002100,1.415,0,0.0882098403043568,0,0.01,0.0127640451818017,0
"18",34003002100,1.463,0,0.0887574795334252,0,0.01,0.0107361702157468,0
"19",34003002100,1.541,0,0.0893491911674402,0,0.01,0.00903047186528526,0
"20",34003002100,1.552,0,0.0899791571519937,0,0.01,0.00759576464148261,0
"21",34003002100,1.469,0,0.0906424954111468,0,0.01,0.00638899509898145,0
"22",34003002100,1.334,0,0.0913351042257012,0,0.01,0.00537394986567692,0
"23",34003002100,1.358,0,0.0920535341960393,0,0.01,0.00452016893289104,0
"24",34003002100,1.409,0,0.0927948824370076,0,0.01,0.00380203159548821,0
"25",34003002100,1.536,0,0.093556704809739,0,0.01,0.00319798761234464,0
"26",34003002100,1.365,0,0.0943369428740061,0,0.01,0.00268991051543235,0
"27",34003002100,1.489,0.0275026128326156,0.0951338629181261,0.291535977261288,0.01,0.00324660249401151,0.0029447802790471
"28",34003002100,1.549,0,0.0959248273743227,0,0.01,0.00273080175619183,0
"29",34003002100,1.552,0,0.0967328539188243,0,0.01,0.00229694834688744,0
"30",34003002100,1.543,0,0.0975564356926393,0,0.01,0.00193202296589497,0
"31",34003002100,1.585,0,0.098394304039885,0,0.01,0.00162507474136445,0
