"STATE" "COUNTY" "FIPS" "RPL_THEME1" "RPL_THEME2" "RPL_THEME3" "RPL_THEME4" "RPL_THEMES" "Surge_threshold" "Rain_threshold" "alpha_d" "alpha_a" "alpha_p" "alpha_r" "mew_a" "mew_p" "U_rate" "POT_S_max" "POT_R_max"
"156" "New York" "Kings" 36047005201 0.6255 0.8249 0.5491 0.9106 0.8183 0.1 0.14 25 1.73 10 0.01 0.14 0 0.02 3.5 0
"157" "New York" "Kings" 36047005202 0.2481 0.5203 0.2101 0.5376 0.3576 3.04 0.08 20.06 12.14 1.31 0.35 0.11 0.22 0.7 0.82 0.13
"158" "New York" "Kings" 36047005400 0.4567 0.4138 0.4994 0.6173 0.515 1.69 0.11 17.09 0.41 0.22 0.25 0.14 0 0.45 0.15 0.15
"159" "New York" "Kings" 36047005601 0.3907 0.5004 0.5703 0.6688 0.5361 1.86 0.1 12.26 12.32 5.47 0.89 0.11 1.35 2.07 1.81 0.06
"160" "New York" "Kings" 36047005602 0.276 0.326 0.5089 0.8831 0.5197 2.59 0.09 25 1.38 0 0.02 0.16 0.05 0.01 2.37 0.07
"161" "New York" "Kings" 36047016200 0.3978 0.1863 0.6297 0.8011 0.5118 3.5 0.15 22.31 25 0 0 0.11 0 0.04 3.5 0.15
"162" "New York" "Kings" 36047016800 0.1554 0.7996 0.5551 0.3886 0.3817 1.7 0.11 16.62 16.46 4.45 0.41 0.06 0.31 2.81 2.74 0.06
"163" "New York" "Kings" 36047017400 0.315 0.6534 0.6434 0.559 0.5067 1.83 0.02 20.15 25 5.88 0 0.06 1.71 0.27 3.14 0.15
"164" "New York" "Kings" 36047017600 0.6265 0.7032 0.636 0.6691 0.7065 2.62 0.05 15.58 0 7.76 0.03 0.07 1.52 1.82 2.35 0.12
"165" "New York" "Kings" 36047028000 0.4704 0.0987 0.7522 0.7783 0.5133 2.88 0.14 15.76 17.31 0.85 0.22 0.08 1.38 2.07 1.8 0.07
"166" "New York" "Kings" 36047028200 0.6232 0.5448 0.7416 0.9091 0.7774 3.05 0.09 13.01 10.44 5.99 0.47 0.08 0.46 2.57 0.66 0.06
"167" "New York" "Kings" 36047028600 0.8112 0.9438 0.7216 0.7789 0.8981 1.45 0.1 23.81 0.45 0 0.07 0.19 0 0.28 1.45 0.15
"168" "New York" "Kings" 36047029200 0.9156 0.6947 0.7267 0.7655 0.8723 1.49 0.14 19.73 1.93 10 0.2 0.14 0 0.32 3.46 0.01
"169" "New York" "Kings" 36047029400 0.7496 0.8787 0.7046 0.9874 0.9383 3.26 0.15 22.31 2.43 6.13 0.2 0.11 0.01 0.01 1.81 0.15
"170" "New York" "Kings" 36047030400 0.9072 0.8277 0.7823 0.8662 0.9277 3.18 0.15 22.07 21.21 6.7 0 0.09 0.01 0.01 0.03 0.15
"171" "New York" "Kings" 36047033000 0.9239 0.9971 0.8746 0.7468 0.9739 2.18 0.04 22.49 0.89 4.52 0.01 0.21 0.31 0.11 0 0.13
"172" "New York" "Kings" 36047033600 0.5953 0.8055 0.4297 0.7501 0.7205 2.09 0.15 6.77 6.16 1.26 0.36 0.03 0.48 0.02 1.24 0.15
"173" "New York" "Kings" 36047061002 0.4589 0.8902 0.0235 0.7297 0.6255 3.08 0.15 18.05 9.71 0 0.2 0.13 0.06 0.34 0.53 0.15
"174" "New York" "Kings" 36047061600 0.3138 0.8749 0.1418 0.554 0.4989 2.31 0.15 10.65 23.93 9.61 0.17 0.09 0 0.06 1.64 0.13
"175" "New York" "Nassau" 36059300100 0.0679 0.6858 0.2044 0.3448 0.2175 3.5 0.15 12.45 25 0.44 0.34 0.06 0 0.39 0.02 0.15
"176" "New York" "Nassau" 36059300500 0.1976 0.8838 0.2576 0.5416 0.4529 1.76 0.08 8.46 0 10 0.1 0.04 0 1.47 0 0.15
"177" "New York" "Nassau" 36059301000 0.1049 0.5508 0.2576 0.4745 0.2649 1.75 0.08 7.95 0.08 1.48 0 0.03 0 1.02 0.12 0.02
"178" "New York" "Nassau" 36059301101 0.7124 0.4185 0.6481 0.6248 0.666 2.62 0.08 8.82 0 1.65 0.02 0.04 0 1.03 0.11 0.12
"179" "New York" "Nassau" 36059301200 0.1506 0.3934 0.3021 0.4567 0.2588 2.02 0.1 8.96 0 6.18 0.02 0.04 0 1.13 0.02 0.15
"180" "New York" "Nassau" 36059301500 0.0196 0.3411 0.3282 0.0141 0.0176 1.76 0.1 7.44 0 5.83 0.04 0.03 0 2.12 0.02 0.15
"181" "New York" "Nassau" 36059302000 0.1315 0.5408 0.3838 0.8984 0.4788 1.98 0.15 10.76 6.85 9.96 0.04 0.05 0.07 0.35 3.49 0.15
"182" "New York" "Nassau" 36059517000 0.3249 0.6231 0.5438 0.5223 0.4746 2.77 0.15 11.25 25 0 0.12 0.07 0.06 0.74 0.5 0.05
"183" "New York" "Nassau" 36059517101 0.5149 0.6414 0.6316 0.2443 0.4748 3.49 0.1 19.63 25 0 0.42 0.12 0.05 0.38 2.53 0.01
"184" "New York" "Nassau" 36059517400 0.2782 0.5845 0.2246 0.3829 0.3336 1.8 0.15 15.05 12.8 3.87 0.01 0.07 0 0.45 0 0.15
"185" "New York" "Nassau" 36059517500 0.1842 0.1465 0.2939 0.0429 0.0585 3.43 0.05 20.25 0 3.75 0.12 0.08 0 0.36 0.25 0.03
"186" "New York" "Nassau" 36059517801 0.0269 0.3199 0.2352 0.1825 0.0766 2.03 0.15 10.41 22.66 9.93 0.01 0.04 0.1 0.03 3.06 0.15
"187" "New York" "Nassau" 36059517901 0.1888 0.0858 0.1814 0.1847 0.0924 1.84 0.1 15.7 0.01 10 0 0.02 0.02 0.01 0.05 0.15
"188" "New York" "Nassau" 36059517902 0.1583 0.3296 0.1289 0.2538 0.1595 1.97 0.13 7.35 25 2.17 0.67 0.04 0.09 2.22 3.21 0.12
"189" "New York" "Nassau" 36059518000 0.5926 0.6378 0.5273 0.8639 0.736 2.6 0.09 24.25 5.6 0 0.54 0.05 0.84 3 1.56 0.03
"190" "New York" "Nassau" 36059518201 0.0201 0.2098 0.3564 0.2919 0.091 2.97 0.15 15.04 25 1.72 0.17 0.1 0.04 0.5 1.05 0.15
"191" "New York" "New York" 36061000700 0.1866 0.0024 0.4362 0.9184 0.1839 2.59 0.15 16.61 0.33 7.1 0.51 0.09 0 0.23 1.38 0.15
"192" "New York" "New York" 36061000900 0.0183 0.0112 0.5683 0.8863 0.1346 2.39 0.15 17.69 1.87 1.18 0.83 0.11 0.14 0.19 1.36 0.15
"193" "New York" "New York" 36061001300 0.22 0.0115 0.5932 0.7816 0.2222 2.09 0.13 12.2 1.47 0.01 0.97 0.08 0.26 0.61 0.21 0.15
"194" "New York" "New York" 36061003700 0.102 0.1855 0.4254 0.5909 0.233 2.12 0.14 9.53 25 9.97 0.1 0.05 0.01 0.9 0.73 0.15
"195" "New York" "New York" 36061003900 0.1872 0.4283 0.4162 0.6438 0.3714 3.35 0.12 10.8 13.41 0.02 0.51 0.08 1.66 0.94 0.05 0.02
"196" "New York" "New York" 36061006900 0.0352 0.018 0.3249 0.9361 0.1729 2.7 0.13 10.2 4.42 3.62 0.06 0.05 0.07 0.81 0.02 0.13
"197" "New York" "New York" 36061007500 0.171 0.1214 0.3522 0.7503 0.2928 2.91 0.15 12.39 18.09 8.76 0.09 0.06 0.01 0.18 3.43 0.15
"198" "New York" "New York" 36061007900 0.3794 0.046 0.2794 0.7366 0.3216 2.67 0.15 16.67 3.66 8.15 0.25 0.09 0 0.01 3.12 0.15
"199" "New York" "New York" 36061015900 0.2554 0.1854 0.3864 0.8049 0.3996 0.19 0.05 25 1.76 0 0 0.26 0.02 0.01 3.5 0.11
"200" "New York" "New York" 36061016300 0.3956 0.0663 0.2743 0.6862 0.3341 1.75 0.12 22.26 0.59 10 0.08 0.17 0.94 0.3 2.31 0.06
"201" "New York" "New York" 36061016700 0.1808 0.0958 0.3234 0.5701 0.2199 2.12 0.07 19.93 19.25 4.1 0.45 0.16 1.94 1.67 3.22 0.07
"202" "New York" "New York" 36061017100 0.2362 0.044 0.2626 0.8928 0.3197 3.18 0.08 21.71 14.55 2.71 0.86 0.17 1.88 1.06 2.04 0.02
"203" "New York" "New York" 36061017500 0.2381 0.1985 0.4948 0.9774 0.5392 1.65 0.09 15.17 0 7.09 1 0.33 1.55 1.45 0.2 0.04
"204" "New York" "New York" 36061017900 0.4713 0.3395 0.4771 0.849 0.5978 1.42 0.15 25 0 0 0.47 0.22 0.07 0.01 0 0.15
"205" "New York" "New York" 36061018300 0.3777 0.1353 0.4476 0.9985 0.6535 1.57 0.13 23.98 0 7.15 0 0.24 0.91 1.31 3.5 0.06
"206" "New York" "New York" 36061018700 0.3124 0.1639 0.5346 0.8273 0.4564 1.65 0.13 16 7.75 2.91 0.19 0.33 0.26 0.69 2.37 0.03
"207" "New York" "New York" 36061019100 0.599 0.3042 0.6166 0.9669 0.7421 2.19 0.11 21 17.46 1.98 0.57 0.19 1.34 1.1 0.21 0.05
"208" "New York" "New York" 36061019500 0.6381 0.3194 0.6764 0.9537 0.7568 0 0.1 25 0 0 0.99 0.21 0.03 0.01 0.92 0.01
"209" "New York" "New York" 36061019900 0.4839 0.036 0.5605 0.927 0.5044 2.09 0.08 14.8 24.87 7.54 0.92 0.15 1.41 2.45 0.48 0.1
"210" "New York" "New York" 36061020500 0.2471 0.0455 0.5408 0.8995 0.376 2.52 0.08 18.81 15.78 3.8 0.69 0.21 1.24 1.37 0.83 0.11
"211" "New York" "New York" 36061021100 0.6262 0.1019 0.7799 0.9631 0.7048 2.64 0.08 16.96 5.98 5.16 0.15 0.21 1.06 1.44 2.51 0.09
"212" "New York" "New York" 36061021900 0.9452 0.9567 0.9335 0.933 0.9841 1.6 0.11 25 0 0 1 0.14 0.1 0.01 0 0
"213" "New York" "New York" 36061022301 0.951 0.451 0.8663 0.7397 0.8585 2.53 0.07 16.79 10.8 4.85 0.18 0.15 1.78 1.09 2.86 0.02
"214" "New York" "New York" 36061022302 0.9314 0.7854 0.9256 0.762 0.9153 3.2 0.08 10.16 1.35 4.62 0.38 0.18 0.99 1.94 1.64 0.07
"215" "New York" "New York" 36061022500 0.8943 0.6588 0.868 0.9518 0.9327 2.38 0.08 12.26 20.86 10 0.69 0.18 1 1.35 0.74 0.11
"216" "New York" "New York" 36061022900 0.973 0.3312 0.8601 0.959 0.9301 2.05 0.12 25 0 0.1 0.84 0.31 0.03 0.01 0.03 0
"217" "New York" "New York" 36061023300 0.8088 0.5 0.8328 0.9152 0.8565 3.5 0.11 25 5.68 4.23 0 0.21 1.63 0.01 3.5 0.02
"218" "New York" "New York" 36061023700 0.8818 0.2249 0.8581 0.9375 0.85 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1
"219" "New York" "New York" 36061024100 0.9489 0.6905 0.8588 0.9911 0.9739 1.95 0.08 12.95 7.54 0.26 0.55 0.18 0.49 0.73 3.31 0.04
"220" "New York" "New York" 36061024700 0.8617 0.7587 0.8713 0.7405 0.8684 3.5 0.11 25 0 0 1 0.36 0.3 0.01 3.5 0
"221" "New York" "New York" 36061025500 0.6849 0.7428 0.8196 0.9859 0.9024 0.17 0.02 25 0 0 1 0.21 0.04 0.01 1.12 0.06
"222" "New York" "New York" 36061026500 0.7794 0.3979 0.7878 0.7509 0.7536 0.25 0.11 25 0 0 0.62 0.28 0.03 0.01 0.9 0
"223" "New York" "New York" 36061027300 0.3409 0.2903 0.5196 0.8391 0.5199 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1
"224" "New York" "New York" 36061027500 0.2835 0.3957 0.4865 0.7089 0.4539 2.63 0.1 22.32 11.85 0.19 0.68 0.18 0.06 1.64 0.91 0.08
"225" "New York" "New York" 36061028700 0.8284 0.5759 0.8115 0.8607 0.852 1.42 0.14 25 0 0.01 1 0.21 0.14 0.01 0 0.14
"226" "New York" "New York" 36061031703 0.0427 0.2766 0.5302 0.7403 0.2772 3.45 0.1 13.86 19.14 2.8 0.73 0.1 0.31 1.58 3.15 0.12
"227" "New York" "New York" 36061031704 0.1213 0.027 0.5031 0.7474 0.1952 3.02 0.11 14.01 2.59 1.6 0.05 0.08 0 0.57 0.01 0.14
"228" "New York" "Orange" 36071000100 0.7547 0.6728 0.6748 0.9348 0.8584 3.27 0.08 23.53 6.53 10 0 0.17 0.34 0.27 1.74 0.01
"229" "New York" "Orange" 36071000400 0.9273 0.9018 0.8497 0.987 0.9838 2.08 0.15 15.91 0 2.89 0.86 0.13 0.07 0.5 2.25 0.15
"230" "New York" "Orange" 36071000501 0.8109 0.6729 0.8853 0.8483 0.8658 1.69 0.09 10.23 24.89 4.81 0.31 0.29 1.95 0.87 2.34 0.12
"231" "New York" "Orange" 36071000502 0.8554 0.9384 0.8798 0.784 0.9256 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1
"232" "New York" "Orange" 36071010102 0.1494 0.2025 0.5958 0.6625 0.3185 1.71 0.09 13.41 9.92 1.39 0.02 0.08 0 0.51 3.5 0.14
"233" "New York" "Orange" 36071010200 0.3229 0.3371 0.557 0.4033 0.3546 2.69 0.07 24.86 12.29 0.85 0.61 0.1 0.97 1.76 1.22 0.08
"234" "New York" "Orange" 36071012700 0.6565 0.1783 0.6748 0.5455 0.5439 1.11 0.08 25 0.2 0 0.11 0.19 0.03 0.01 3.5 0.13
"235" "New York" "Orange" 36071012800 0.3329 0.4949 0.5731 0.7775 0.5493 2.72 0.06 9.76 4.5 7.47 0.93 0.08 0.8 2.56 1.14 0.13
"236" "New York" "Orange" 36071012900 0.07 0.4043 0.2208 0.1599 0.1057 1.63 0.08 15.35 25 0.74 0.04 0.09 0.03 0.53 1.66 0.05
"237" "New York" "Orange" 36071013100 0.2884 0.2156 0.3249 0.3999 0.266 1.69 0.08 12.19 25 1.11 0 0.07 0 0.61 0.27 0.07
"238" "New York" "Orange" 36071013600 0.0171 0.1599 0.4901 0.403 0.1139 0.21 0.11 10.52 23.52 1.43 0.7 0.2 1.78 0.32 1.69 0.15
"239" "New York" "Orange" 36071013700 0.1487 0.3882 0.6883 0.4678 0.3168 1.76 0.14 25 0.13 2.23 0.2 0.15 2 0.01 3.5 0
"240" "New York" "Orange" 36071013800 0.3538 0.5596 0.5968 0.6062 0.5115 2.75 0.13 9.38 22.6 8.87 0.79 0.09 1.49 2.33 3.38 0.1
"241" "New York" "Putnam" 36079010600 0.2555 0.2443 0.2369 0.6406 0.3285 1.91 0.15 13.34 14.64 5.92 0.25 0.06 0.01 0.48 0.01 0.15
"242" "New York" "Putnam" 36079010700 0.1283 0.5285 0.2556 0.6613 0.3396 1.85 0.15 12.75 0.46 5.63 0.24 0.06 0.01 0.32 1.26 0.15
"243" "New York" "Putnam" 36079010800 0.0774 0.1556 0.3404 0.1366 0.07 1.91 0.15 10.13 2.76 2.35 1 0.05 0.12 0.97 0.14 0.15
"244" "New York" "Queens" 36081099703 0.2183 0.6645 0.6481 0.6643 0.4968 3.5 0.08 13.41 0 2.14 0.2 0.08 0 0.64 3.5 0.03
"245" "New York" "Queens" 36081099705 0.133 0.1025 0.7616 0.1406 0.1153 1.76 0.08 13.41 3.02 1.72 0.54 0.08 0 0.65 0 0.14
"246" "New York" "Queens" 36081109300 0.4125 0.2823 0.7223 0.4191 0.4183 1.91 0.12 12.88 25 0.79 0.51 0.08 0.04 0.7 0.01 0
"247" "New York" "Queens" 36081111300 0.1755 0.6911 0.6948 0.3649 0.373 2.51 0.12 18.28 7.41 8.18 0.64 0.07 0 2.42 3.5 0.06
"248" "New York" "Queens" 36081148300 0.2312 0.7351 0.6474 0.2824 0.3761 2 0.15 6.22 11.13 10 0.01 0.01 0.41 0.02 2.45 0.15
"249" "New York" "Rensselaer" 36083040400 0.9697 0.9805 0.7929 0.8161 0.9767 2.7 0.09 19.5 9.79 9.19 0.18 0.09 0.38 2.5 1.43 0.02
"250" "New York" "Rensselaer" 36083040800 0.4707 0.3976 0.4527 0.7295 0.5537 0.44 0.12 9.2 25 0.47 0 0.04 0.02 0.36 3.5 0.14
"251" "New York" "Rensselaer" 36083040900 0.8815 0.9016 0.5825 0.6806 0.8687 1.32 0.11 4.19 0 1.14 0 0.01 0.02 0.01 0.76 0.05
"252" "New York" "Rensselaer" 36083041000 0.5388 0.7059 0.6839 0.7886 0.7182 1.72 0.09 17.95 4.62 0.4 0.54 0.03 1.88 2.48 1.07 0.02
"253" "New York" "Rensselaer" 36083051500 0.6507 0.7759 0.5165 0.5902 0.6943 1.99 0.11 19.15 15.65 1.24 0.31 0.02 0.65 2.01 3.05 0
"254" "New York" "Rensselaer" 36083052301 0.1279 0.2368 0.2101 0.4818 0.2017 2.04 0.07 11.1 9.88 6.63 0.81 0.13 1.58 2.68 1.85 0.07
"255" "New York" "Rensselaer" 36083052501 0.2128 0.3704 0.1605 0.556 0.2996 1.98 0.11 9.41 3.78 6.29 0.12 0.09 1.49 2.03 1.32 0.05
"256" "New York" "Rensselaer" 36083052503 0.406 0.5374 0.1418 0.368 0.3683 0.53 0.13 10.69 16.35 0 0 0.05 0 0.09 3.5 0.14
"257" "New York" "Richmond" 36085000300 0.6253 0.1489 0.6903 0.9777 0.7313 2.53 0.15 20.75 1.67 5.95 0.65 0.12 0 0.1 1.55 0.15
"258" "New York" "Richmond" 36085000600 0.8604 0.7802 0.6595 0.8132 0.8716 2.17 0.15 18.67 1.31 2.34 0.04 0.09 0.1 0.02 0.61 0.15
"259" "New York" "Richmond" 36085000700 0.877 0.7574 0.868 0.9161 0.9274 1.64 0.09 18.74 0 0 0.04 0.16 1.14 2.87 0.96 0.09
"260" "New York" "Richmond" 36085002100 0.6771 0.8238 0.8015 0.9955 0.9321 1.84 0.15 13.72 1.79 1.02 0.23 0.07 0.1 0.4 1.09 0.05
"261" "New York" "Richmond" 36085007400 0.6674 0.8731 0.6279 0.8846 0.8453 2.66 0.15 16.96 2.84 1.33 0.27 0.14 0.04 0.41 0.41 0.15
"262" "New York" "Richmond" 36085008100 0.6947 0.8987 0.7435 0.9961 0.9479 1.65 0.09 17.31 0 6.28 0.23 0.12 0.33 2.8 1.95 0.14
"263" "New York" "Richmond" 36085011201 0.8192 0.5366 0.4678 0.1718 0.5431 2.16 0.15 9.15 6.07 1.57 0.61 0.07 0.09 0.06 1.24 0.11
"264" "New York" "Richmond" 36085012804 0.3596 0.4031 0.5457 0.611 0.4681 2.55 0.15 7.32 5.38 4.66 0.87 0.02 0.09 0.01 0.75 0.15
"265" "New York" "Richmond" 36085012805 0.3205 0.3484 0.2776 0.093 0.1708 2.08 0.14 16.53 2.02 4.91 0.23 0.13 1.56 0.38 0.55 0.04
"266" "New York" "Richmond" 36085012806 0.6812 0.5229 0.5664 0.6499 0.6715 2.8 0.13 10.68 4.94 1.2 0.65 0.07 1.27 0.78 1.77 0.12
"267" "New York" "Richmond" 36085015603 0.3558 0.664 0.4134 0.3 0.392 2.14 0.15 7.29 7.75 2.41 0.11 0.03 0.18 0.02 0.4 0.1
"268" "New York" "Richmond" 36085017600 0.0868 0.1485 0.1605 0.168 0.0689 2.69 0.08 7.96 3.4 10 0.01 0.03 0.1 0.96 0.01 0.04
"269" "New York" "Richmond" 36085019800 0.2187 0.3834 0.2724 0.3973 0.2676 1.75 0.07 9.89 24.82 10 0 0.05 0.04 0.45 0.13 0.04
"270" "New York" "Richmond" 36085022300 0.6663 0.96 0.8955 0.5236 0.8062 2.32 0.15 14.54 5.52 7.75 0.58 0.08 0 0.4 1.94 0.15
"271" "New York" "Richmond" 36085024401 0.3734 0.3514 0.2794 0.3683 0.3262 1.45 0.04 12.91 17.39 5.85 0 0.07 0.9 0.62 3.5 0.15
"272" "New York" "Richmond" 36085024402 0.2439 0.1679 0.1501 0.4275 0.2143 2.16 0.15 6.54 0.83 0 0.08 0.01 0.07 0.09 0.98 0.15
"273" "New York" "Richmond" 36085024800 0.2742 0.4062 0.3508 0.2996 0.2764 2.62 0.15 13.05 5.46 0.08 0.06 0.07 0.03 0.05 2.62 0.15
"274" "New York" "Richmond" 36085029102 0.373 0.7187 0.636 0.5531 0.5531 2.22 0.14 20.89 17.58 0 0.02 0.16 0.07 0.24 0.52 0.15
"275" "New York" "Richmond" 36085031902 0.4983 0.8916 0.9092 0.8586 0.8127 1.85 0.15 16.97 3.41 1.53 0.11 0.1 0.03 0.2 3.07 0.15
"276" "New York" "Richmond" 36085032300 0.0739 0.4578 0.902 0.5573 0.3443 1.64 0.12 17.16 0 6.37 0.48 0.08 1.6 0.45 2.05 0.02
"277" "New York" "Rockland" 36087010101 0.4017 0.167 0.5019 0.4875 0.3621 1.65 0.09 22.64 0 3.44 0.7 0.08 1.5 1.83 2.8 0.05
"278" "New York" "Rockland" 36087010200 0.4383 0.6632 0.4901 0.8811 0.6802 2 0.15 19.63 9.44 0.5 0.1 0.14 0.28 0.3 1.31 0.15
"279" "New York" "Rockland" 36087010602 0.8517 0.7609 0.8271 0.7027 0.85 1.91 0.15 16.47 0.13 5.15 0.09 0.08 0.01 0.27 0 0.15
"280" "New York" "Rockland" 36087010701 0.6893 0.9654 0.8289 0.9419 0.9323 3.4 0.14 13.11 0 2.36 0.8 0.12 0.97 1.69 3.46 0.11
"281" "New York" "Rockland" 36087010703 0.8297 0.9473 0.8206 0.9052 0.9467 1.28 0.09 25 4.84 0 0.01 0.14 0.04 0.03 2.58 0.04
"282" "New York" "Rockland" 36087010902 0.298 0.6967 0.6081 0.34 0.4198 3.5 0.08 17.84 25 2.22 0.15 0.11 0.01 0.43 0.05 0.11
"283" "New York" "Rockland" 36087011000 0.0502 0.3508 0.4501 0.2704 0.1453 1.75 0.15 15.2 25 1.07 0.05 0.08 0 0.3 3.27 0.15
"284" "New York" "Rockland" 36087013003 0.1904 0.564 0.4191 0.7837 0.4657 3.39 0.15 12.73 10.55 9.98 0.04 0.05 0.04 0.01 0.2 0.15
"285" "New York" "Rockland" 36087013200 0.284 0.3978 0.6223 0.7317 0.4861 2.05 0.15 16.45 8.05 0.03 0.02 0.08 0.03 0.06 2.52 0.15
"286" "New York" "Rockland" 36087013300 0.0719 0.125 0.4628 0.4523 0.1577 1.88 0.12 15.84 14.1 10 0.17 0.13 0.26 0.44 3.41 0.15
"287" "New York" "Rockland" 36087013402 0.3764 0.2407 0.4336 0.3572 0.3154 1.71 0.08 11.2 4.75 10 0.02 0.06 0 0.65 0.27 0.03
"288" "New York" "Suffolk" 36103110101 0.0187 0.4586 0.1686 0.0691 0.0456 1.76 0.11 22 22.75 10 0.01 0.14 0 0.28 2.98 0.15
"289" "New York" "Suffolk" 36103110300 0.1006 0.0719 0.1037 0.0696 0.027 2.1 0.15 12.23 0.78 10 0.15 0.04 0.1 0.33 0.02 0.15
"290" "New York" "Suffolk" 36103110401 0.1403 0.2632 0.0309 0 0.0207 2.08 0.15 12.76 5.9 9.38 0 0.05 0.1 0.01 0.57 0.15
"291" "New York" "Suffolk" 36103110402 0.0778 0.0773 0.2007 0.0434 0.0201 1.91 0.15 16.17 25 6.73 0.05 0.06 0 0.32 0 0.15
"292" "New York" "Suffolk" 36103110501 0.1083 0.1408 0.2259 0.026 0.0281 2.7 0.15 9.3 7.9 10 0.07 0.04 0.08 0.04 3.36 0.15
"293" "New York" "Suffolk" 36103110801 0.0133 0.4747 0.1354 0.0614 0.0386 1.99 0.15 7.3 17.76 10 0.15 0.01 0 0.01 1.28 0.15
"294" "New York" "Suffolk" 36103110803 0.1339 0.1274 0.2593 0.1248 0.074 2.11 0.15 13.17 7.75 10 0.38 0.05 0.05 0.32 0.03 0.15
"295" "New York" "Suffolk" 36103134703 0.0073 0.0675 0.0879 0.1617 0.0171 1.95 0.15 20.68 0 0 0.01 0.06 0.03 0.24 0 0.15
"296" "New York" "Suffolk" 36103134704 0.1252 0.4186 0.2352 0.5847 0.2814 2.93 0.11 11.45 19.99 0.25 0.3 0.1 1.64 1.77 2.31 0.06
"297" "New York" "Suffolk" 36103135004 0.1055 0.2039 0.3653 0.1165 0.085 1.99 0.14 8.22 25 7.57 0.98 0.04 0.62 1.59 0.96 0.14
"298" "New York" "Suffolk" 36103158001 0.0325 0.232 0.2314 0.1354 0.0551 1.75 0.08 7.41 25 10 0 0.03 0 0.77 0.21 0.06
"299" "New York" "Suffolk" 36103158207 0.0705 0.3198 0.3082 0.5131 0.2075 3.49 0.09 16.25 22.32 2.21 0.02 0.1 0.01 0.4 3.48 0.14
"300" "New York" "Suffolk" 36103158304 0.2329 0.06 0.2439 0.0422 0.0438 1.98 0.15 14.6 2.71 9.39 0 0.06 0.78 0.02 0.19 0.05
"301" "New York" "Suffolk" 36103158317 0.1134 0.2134 0.2439 0.3051 0.1424 2.09 0.05 11.24 0 0.41 0.4 0.08 0.8 2.74 3.39 0.11
"302" "New York" "Suffolk" 36103158402 0.05 0.1989 0.261 0.1414 0.0632 1.67 0.14 9.96 12.96 4.71 0.21 0.08 0.75 3 1.71 0.11
"303" "New York" "Suffolk" 36103158407 0.3815 0.5641 0.1952 0.1073 0.2395 3.5 0.09 13.91 22.02 2.43 0.56 0.08 0 0.62 0.93 0.06
"304" "New York" "Suffolk" 36103158408 0.311 0.0936 0.292 0.0349 0.0692 3.5 0.15 20.76 0 9.85 0.97 0.09 0.74 0.35 3.5 0.04
"305" "New York" "Suffolk" 36103169701 0.264 0.4068 0.2191 0.3182 0.2596 1.7 0.12 17.41 0 2.03 0 0.06 0.06 0.02 0.28 0.15
"306" "New York" "Suffolk" 36103169703 0.1982 0.3231 0.1418 0.5815 0.2858 2.37 0.09 15.12 19.42 2.82 0 0.07 0 0.02 0.35 0.15
"307" "New York" "Suffolk" 36103180300 0.1199 0.0601 0.1482 0.5483 0.1401 2.01 0.15 7.03 25 8.37 0.08 0.02 1.74 0.92 3.5 0.12
"308" "New York" "Ulster" 36111950100 0.4543 0.5131 0.2593 0.2682 0.3622 2.45 0.11 7.85 24.72 5.6 0.66 0.08 1.43 2.63 3.3 0.13
"309" "New York" "Ulster" 36111950200 0.5717 0.7939 0.3164 0.6252 0.6462 1.71 0.15 16.13 2.01 10 0.13 0.09 0 0.16 2.04 0.15
"310" "New York" "Ulster" 36111950300 0.5488 0.7261 0.2955 0.5313 0.5782 1.43 0.14 23.28 0.85 0.81 0.04 0.14 0.8 0.16 3.5 0
"311" "New York" "Ulster" 36111951300 0.5938 0.7192 0.3282 0.9604 0.7839 1.65 0.12 0 25 10 0 0.1 0 0.03 3.5 0
"312" "New York" "Ulster" 36111951400 0.8485 0.8359 0.3864 0.9172 0.8903 3.25 0.12 25 14.29 4.78 0.48 0.3 0.07 0.23 2.18 0.1
"313" "New York" "Ulster" 36111951700 0.8612 0.1578 0.5031 0.865 0.7411 1.99 0.15 14.53 0.91 8.21 0.75 0.08 0 0.45 0.11 0.15
"314" "New York" "Ulster" 36111952500 0.2849 0.2623 0.3609 0.4223 0.2912 1.91 0.15 21.49 18.25 4.84 0.07 0.1 0 0.31 0 0.15
"315" "New York" "Ulster" 36111952600 0.4088 0.0908 0.1645 0.7225 0.3577 1.93 0.12 17.99 20.11 6 0.35 0.07 0.97 1.45 2.18 0.09
"316" "New York" "Ulster" 36111953600 0.4555 0.5321 0.4216 0.8314 0.6199 1.29 0.15 24.9 25 10 0 0.15 0 0.05 0.8 0.15
"317" "New York" "Ulster" 36111953700 0.563 0.4173 0.3849 0.6441 0.5596 1.45 0.15 18 25 0 0 0.09 0 0.12 3.5 0.15
"318" "New York" "Ulster" 36111953800 0.1754 0.3113 0.2479 0.611 0.2958 1.76 0.12 15.54 3.48 10 0.39 0.12 0 0.52 1.86 0.08
"319" "New York" "Ulster" 36111954900 0.1982 0.1018 0.1814 0.5836 0.2168 1.9 0.12 8.79 25 1.65 0.96 0.05 0.05 1.45 0.02 0
