"STATE" "COUNTY" "FIPS" "RPL_THEME1" "RPL_THEME2" "RPL_THEME3" "RPL_THEME4" "RPL_THEMES" "Surge_threshold" "Rain_threshold" "alpha_d" "alpha_a" "alpha_p" "alpha_r" "mew_a" "mew_p" "U_rate" "POT_S_max" "POT_R_max"
"35" "Connecticut" "New Haven" 9009151000 0.2527 0.6123 0.2063 0.4256 0.3415 1.87 0.14 17.25 24.99 2.97 0.34 0.26 0.76 0.31 0.37 0.14
"36" "Connecticut" "New Haven" 9009151100 0.3058 0.1052 0.2386 0.6178 0.2898 1.91 0.15 13.17 20.07 10 0.27 0.11 0.82 0.1 1.87 0.12
"37" "Connecticut" "New Haven" 9009154500 0.8937 0.8597 0.682 0.7345 0.8851 1.92 0.15 21.4 5.36 6.81 0.57 0.12 0.04 0.31 0 0.03
"38" "Connecticut" "New Haven" 9009154700 0.3166 0.1687 0.3181 0.0961 0.1354 1.72 0.14 8.73 12.15 2.63 0 0.04 0.03 0.07 0.11 0.02
"39" "Connecticut" "New Haven" 9009154800 0.1943 0.04 0.2888 0.1633 0.07 1.91 0.15 20.81 6.96 5.46 0.24 0.07 0 0.19 0.01 0.09
"40" "Connecticut" "New Haven" 9009155000 0.8796 0.7356 0.7473 0.455 0.7802 1.53 0.15 14.17 23.85 10 0.04 0.1 0 0.29 1.82 0.03
"41" "Connecticut" "New Haven" 9009155100 0.67 0.7601 0.5978 0.9012 0.8195 1.81 0.15 6.9 2.46 9.87 0.24 0.02 0 0.57 3.42 0.12
"42" "Connecticut" "New Haven" 9009184300 0.3563 0.6616 0.1501 0.4224 0.3993 1.49 0.11 10.5 25 10 0 0.06 0 0.17 0.11 0.12
"43" "Connecticut" "New Haven" 9009184400 0.2072 0.5867 0.1686 0.2348 0.2316 1.97 0.15 8.89 24.77 8.58 0.16 0.05 0.05 0.45 0.57 0.11
"44" "Connecticut" "New Haven" 9009184600 0.0608 0.0947 0.0344 0.1111 0.0296 1.91 0.15 13.07 25 0 0.88 0.07 0.03 0.48 0.02 0.15
"45" "Connecticut" "New Haven" 9009190100 0.2096 0.7269 0.2689 0.2519 0.2891 1.96 0.15 12.7 25 10 0.24 0.09 0.44 0.24 1.31 0.12
"46" "Connecticut" "New Haven" 9009190200 0.0502 0.5618 0.1934 0.3972 0.1925 1.92 0.08 14.58 25 5.66 0.05 0.09 0 0.5 0 0.15
"47" "Connecticut" "New London" 9011660101 0.148 0.1251 0.1108 0.1464 0.0742 3.1 0.14 7.42 20.86 6.83 0.3 0.03 1.02 1.7 0.13 0.12
"48" "Connecticut" "New London" 9011690900 0.4846 0.5928 0.5323 0.7917 0.6463 3.25 0.15 9.64 6.8 6.87 0.53 0.04 0.69 0.08 3.46 0.08
"49" "Connecticut" "New London" 9011693300 0.2845 0.8048 0.2873 0.2724 0.3656 2.45 0.1 6.03 25 10 0 0.04 0 0.01 0.26 0.06
"50" "Connecticut" "New London" 9011693500 0.1125 0.341 0.1524 0.1755 0.1158 2.02 0.14 7.84 25 7.94 0.2 0.03 0.59 1.69 0.17 0.1
"51" "Connecticut" "New London" 9011702600 0.073 0.3744 0.2369 0.0793 0.0712 2.42 0.15 8.89 12.14 0.34 0.07 0.01 0.09 0.01 1.23 0.15
"52" "Connecticut" "New London" 9011702900 0.079 0.1741 0.1108 0.2618 0.092 2.63 0.1 18.57 20.03 9.77 0.06 0.22 0 0.41 0.71 0.15
"53" "Connecticut" "New London" 9011705101 0.1367 0.2123 0.2841 0.0654 0.0683 1.53 0.13 9.88 17.49 0.88 0 0.04 0.03 0.11 3.5 0.15
"54" "Connecticut" "New London" 9011705200 0.2048 0.1999 0.074 0.1171 0.0941 3.33 0.15 5.49 25 9.95 0.11 0 0.11 0.04 1.08 0.15
"55" "Connecticut" "New London" 9011705300 0.1508 0.2605 0.3838 0.3167 0.1911 2.73 0.15 14.72 25 0.62 0.17 0.1 0.07 0.34 2.86 0.15
"56" "Connecticut" "New London" 9011870703 0.1003 0.2075 0.2873 0.0958 0.0688 1.86 0.15 10.64 25 0.07 0.02 0.05 0.04 0.32 3.49 0.03
"57" "Connecticut" "New London" 9011870704 0.1176 0.3096 0.1501 0.4184 0.1881 2.8 0.15 8.38 7.41 9.97 0.09 0.03 0.2 0.01 1.05 0.15
"58" "New Jersey" "Bergen" 34003002100 0.1273 0.8562 0.6367 0.0229 0.1678 1.76 0.13 25 0.04 7.4 0.14 0.16 1.82 0.01 1.43 0.01
"59" "New Jersey" "Bergen" 34003013002 0.4607 0.1538 0.6897 0.5504 0.4408 2.75 0.15 9.39 11.69 7.64 0.89 0.05 0.06 1.04 0.43 0.09
"60" "New Jersey" "Bergen" 34003016000 0.2217 0.639 0.6699 0.0571 0.2072 1.64 0.11 12.89 0 4.4 0.05 0.18 1.11 1.74 2.61 0.07
"61" "New Jersey" "Bergen" 34003019102 0.4955 0.8345 0.7987 0.5294 0.6645 3.42 0.08 15.94 16.86 2.12 0.24 0.2 0.71 2.56 0.33 0.05
"62" "New Jersey" "Bergen" 34003019202 0.5237 0.16 0.7785 0.683 0.5383 3.01 0.11 13.7 17.21 6.94 0.37 0.14 1.3 2.2 3.07 0.13
"63" "New Jersey" "Bergen" 34003055100 0.2535 0.3408 0.5145 0.2323 0.2464 2.21 0.1 19.61 7.34 8.2 0.67 0.06 1.02 1.88 1.28 0
"64" "New Jersey" "Hudson" 34017005802 0.0664 0.0291 0.7319 0.4637 0.1192 2.18 0.15 13.66 2.26 10 0.27 0.04 0.13 0.01 1.47 0.15
"65" "New Jersey" "Hudson" 34017007400 0.0106 0.0034 0.6798 0.7323 0.061 2.33 0.15 17.34 0.27 6.56 0.2 0.09 0 0.05 2.37 0.15
"66" "New Jersey" "Hudson" 34017010300 0.6335 0.8793 0.7046 0.6565 0.7652 2.05 0.1 22.77 23 10 0 0.22 0.26 0.31 0.12 0.01
"67" "New Jersey" "Hudson" 34017010400 0.6355 0.5715 0.73 0.6145 0.6735 1.62 0.08 18.01 25 0.73 0.07 0.12 0 0.43 3.42 0.02
"68" "New Jersey" "Hudson" 34017010800 0.4636 0.0732 0.7775 0.5783 0.416 1.71 0.11 10.73 8.13 0 0.39 0.06 0.06 0.84 0.85 0.13
"69" "New Jersey" "Hudson" 34017011400 0.5807 0.857 0.636 0.7606 0.7605 2.56 0.08 13.93 2.47 2.2 0.14 0.08 0 0.55 0.62 0.15
"70" "New Jersey" "Hudson" 34017011500 0.5391 0.5378 0.4399 0.1623 0.3813 2.15 0.11 15.77 4.3 2.87 0.1 0.09 0 0.47 0.04 0.15
"71" "New Jersey" "Hudson" 34017011600 0.7347 0.953 0.6741 0.7131 0.8528 1.92 0.09 12.85 3.44 2.23 0.18 0.07 0 0.63 0.05 0.15
"72" "New Jersey" "Hudson" 34017014101 0.4892 0.2076 0.7372 0.9224 0.6495 2.1 0.12 16.66 1.67 3.57 0.35 0.12 0.03 0.44 0.14 0.15
"73" "New Jersey" "Hudson" 34017015001 0.1786 0.2047 0.7191 0.5561 0.3184 3.49 0.08 13.66 25 2.17 0.01 0.08 0.01 0.57 1.05 0.12
"74" "New Jersey" "Hudson" 34017015201 0.1739 0.1068 0.686 0.6323 0.2937 2.18 0.15 11.57 25 9.19 0 0.05 0.11 0.01 1.36 0.15
"75" "New Jersey" "Hudson" 34017015801 0.1345 0.0472 0.7093 0.8921 0.3333 2.16 0.12 14.73 1.09 4.78 0.18 0.1 0.01 0.5 0 0.15
"76" "New Jersey" "Hudson" 34017017900 0.0265 0.0197 0.6481 0.5947 0.0974 2.53 0.15 20.63 6.59 2.89 0.37 0.14 0.03 0.23 1.43 0.15
"77" "New Jersey" "Hudson" 34017018301 0.0052 0.0162 0.5605 0.6827 0.0741 1.13 0.07 19.51 0.11 0 0.16 0.11 0.05 0.1 0.68 0.03
"78" "New Jersey" "Hudson" 34017018302 0.0014 0.0318 0.4842 0.7308 0.0862 2.76 0.15 12.64 0 0.01 0.13 0.06 0.06 0.18 3.21 0.15
"79" "New Jersey" "Hudson" 34017018701 0.0591 0.0022 0.4714 0.8345 0.0928 2.46 0.15 12.57 2.34 7.73 0.51 0.07 0 0.61 0.4 0.15
"80" "New Jersey" "Hudson" 34017019300 0.1206 0.0814 0.4994 0.5931 0.2084 1.93 0.12 7.73 5.09 10 0.97 0.04 0.24 1.86 2.62 0.15
"81" "New Jersey" "Middlesex" 34023003401 0.34 0.5897 0.6827 0.5434 0.5031 2.27 0.15 12.32 0.15 3.08 0.08 0.05 0.11 0.01 0.91 0.15
"82" "New Jersey" "Middlesex" 34023004600 0.9592 0.8701 0.9039 0.8184 0.9528 2.17 0.15 25 0.9 0.28 0.02 0.15 0.14 0.01 1.25 0.15
"83" "New Jersey" "Middlesex" 34023004900 0.958 0.9806 0.8725 0.9342 0.9896 1.7 0.15 25 0.45 2.25 0.25 0.12 0 0.01 2.87 0.15
"84" "New Jersey" "Middlesex" 34023005000 0.9306 0.7371 0.8864 0.4875 0.8354 2.74 0.15 17.54 0.01 4.34 0.68 0.11 0.03 0.33 0.88 0.15
"85" "New Jersey" "Middlesex" 34023007402 0.2332 0.394 0.5898 0.1031 0.189 2.61 0.15 17.85 14.22 3.12 0.19 0.11 0 0.34 1.61 0.15
"86" "New Jersey" "Middlesex" 34023007500 0.4925 0.7057 0.4865 0.2232 0.4479 2.17 0.15 15.2 6.09 0.91 0 0.11 0.19 0.01 0.21 0.15
"87" "New Jersey" "Middlesex" 34023007600 0.6406 0.2668 0.5293 0.3741 0.4773 2.48 0.15 14.48 3.92 8.24 0.04 0.06 0.02 0.01 0.82 0.15
"88" "New Jersey" "Middlesex" 34023008001 0.498 0.3718 0.5587 0.2144 0.3684 2.07 0.15 25 8.85 0.01 0.05 0.19 0.63 0.17 1.12 0.05
"89" "New Jersey" "Monmouth" 34025800200 0.2121 0.1143 0.1482 0.3863 0.1679 2.06 0.15 11.22 8.77 0.95 0.08 0.06 0.05 0.09 2.14 0.15
"90" "New Jersey" "Monmouth" 34025800400 0.202 0.3564 0.2776 0.0269 0.0803 2.07 0.15 10.11 6.55 2.71 0.11 0.05 0.37 0.02 0.95 0.15
"91" "New Jersey" "Monmouth" 34025800500 0.3306 0.3478 0.3435 0.3375 0.3025 2.14 0.15 4.23 5.44 0 0.37 0 0.11 0.03 0.58 0.12
"92" "New Jersey" "Monmouth" 34025800601 0.4435 0.6902 0.2972 0.6607 0.5658 2.08 0.15 3.29 21.23 0 0.58 0 0.05 0.01 2.48 0.15
"93" "New Jersey" "Monmouth" 34025801600 0.6059 0.4643 0.2857 0.6956 0.597 2.22 0.15 6.3 4.29 0.03 0.59 0 0.23 0.01 0.79 0.15
"94" "New Jersey" "Monmouth" 34025801700 0.8533 0.8597 0.5207 0.9329 0.9165 2.17 0.04 7.06 3.18 1.81 0.02 0.08 0 0.06 0 0.15
"95" "New Jersey" "Monmouth" 34025801800 0.1386 0.0231 0.2825 0.1268 0.034 2.17 0.15 5.91 5.76 2.33 0.17 0.11 0.01 0.03 0.01 0.15
"96" "New Jersey" "Monmouth" 34025801900 0.6008 0.2834 0.5357 0.2648 0.4163 1.84 0.15 13.65 11.84 10 0.16 0.09 0 0.41 2.88 0.08
"97" "New Jersey" "Monmouth" 34025802000 0.6787 0.6472 0.3962 0.8827 0.7635 1.74 0.15 11.7 0 2.39 0.22 0.05 0.01 0.06 2.93 0.15
"98" "New Jersey" "Monmouth" 34025802500 0.1387 0.0918 0.5806 0.0758 0.0694 2.01 0.12 8.35 9.72 2.2 0.92 0.04 0.08 1.48 0.66 0.07
"99" "New Jersey" "Monmouth" 34025812100 0.0932 0.1544 0.1645 0.4438 0.1454 2.17 0.13 6.06 3.8 3.57 0.07 0.1 0.24 0.07 0 0.15
"100" "New Jersey" "Union" 34039030500 0.9441 0.8862 0.9032 0.7116 0.9294 0 0.11 25 2.83 0.67 0.01 0.17 0.01 0.01 3.17 0.13
"101" "New Jersey" "Union" 34039030600 0.8947 0.8365 0.8887 0.7846 0.9121 2.14 0.07 9.07 12.29 2.31 0.62 0.07 0.14 2.52 2.03 0.1
"102" "New Jersey" "Union" 34039035400 0.6471 0.749 0.6611 0.754 0.7568 2.97 0.15 9.77 1.95 6.69 0.09 0.04 0.06 0.01 0.36 0.15
"103" "New York" "Albany" 36001000100 0.8676 0.9256 0.8462 0.5809 0.8758 1.91 0.15 19.67 5.25 5.73 0.06 0.08 0 0.28 0 0.15
"104" "New York" "Albany" 36001001100 0.8058 0.6533 0.6929 0.9457 0.8822 0.93 0.07 25 19.44 0 0 0.22 0.16 0.21 0.21 0
"105" "New York" "Albany" 36001002500 0.8092 0.9768 0.9039 0.9931 0.9863 1.01 0.14 11.25 15.61 0.99 0 0.05 0.05 0.01 2.8 0.12
"106" "New York" "Albany" 36001002600 0.7885 0.7498 0.7806 0.9241 0.8917 3.21 0.13 20.18 1.3 6.21 0.13 0.1 0.43 0.01 1.91 0.11
"107" "New York" "Albany" 36001013100 0.603 0.6764 0.4336 0.4771 0.5936 2.94 0.11 19.21 4.35 8.58 0.33 0.01 0.23 1.51 1.81 0.11
"108" "New York" "Albany" 36001013200 0.6514 0.9914 0.5408 0.2563 0.7123 2.48 0.06 17.16 1.49 8.93 0.32 0.03 0.2 2.8 2.41 0.07
"109" "New York" "Albany" 36001013400 0.413 0.5633 0.3522 0.3542 0.4074 2.19 0.13 16.39 18.71 4.35 0.82 0.05 1.84 1.84 3.12 0.02
"110" "New York" "Albany" 36001013602 0.3856 0.5343 0.6914 0.9461 0.6967 1.98 0.07 14.51 0 9.47 0.84 0.06 1.68 2.71 1.61 0.08
"111" "New York" "Albany" 36001014301 0.2267 0.4015 0.2626 0.6988 0.3833 1.4 0.15 18.01 24.97 0 0 0.09 0.01 0.1 3.5 0.15
"112" "New York" "Albany" 36001014401 0.19 0.1178 0.0381 0.5331 0.188 2.41 0.09 18.05 6.63 5.65 0.86 0.06 0.6 2.4 1.7 0.11
"113" "New York" "Bronx" 36005011800 0.405 0.312 0.6345 0.7593 0.5399 1.85 0.15 7.46 12.05 10 0.16 0.02 0 0.02 2.35 0.15
"114" "New York" "Bronx" 36005013800 0.6736 0.8916 0.7149 0.5771 0.7642 2.4 0.14 7.68 25 0 0.2 0.04 0.02 1.89 2.76 0.12
"115" "New York" "Bronx" 36005016000 0.6573 0.8289 0.682 0.5212 0.7151 1.84 0.15 25 14.43 10 0.02 0.05 0 0.01 0.88 0.15
"116" "New York" "Bronx" 36005027402 0.4529 0.8306 0.5816 0.6515 0.6539 1.95 0.08 15.53 25 10 0 0.1 0.25 0.34 0.08 0.02
"117" "New York" "Bronx" 36005029301 0.1251 0.2468 0.4842 0.8745 0.3944 1.32 0.15 25 0 0.46 1 0.18 0.03 0.01 0.11 0.04
"118" "New York" "Bronx" 36005030100 0.1817 0.5158 0.6174 0.9066 0.5488 2.32 0.07 21.31 19.51 3.15 1 0.12 1.1 1.33 0.39 0.07
"119" "New York" "Bronx" 36005030900 0.5373 0.6389 0.5007 0.9487 0.7564 1.42 0.14 25 0 0 0.53 0.15 0.07 0.01 0 0.14
"120" "New York" "Bronx" 36005032300 0.1924 0.5752 0.5293 0.934 0.5754 3.48 0.1 21.77 25 0.02 0 0.15 0.04 0.3 1.1 0.08
"121" "New York" "Columbia" 36021000500 0.2311 0.933 0.2137 0.3299 0.4123 1.75 0.15 15.63 0.62 2.3 0.5 0.09 0 0.39 3.36 0.15
"122" "New York" "Columbia" 36021000600 0.3057 0.5442 0.1768 0.5403 0.3906 1.13 0.14 14.79 25 0.37 0 0.09 0.04 0.03 1.52 0.13
"123" "New York" "Columbia" 36021001100 0.6268 0.6249 0.3752 0.9182 0.7542 2.21 0.1 15.91 17.58 6.61 0.47 0.13 0.9 1.19 0.12 0.09
"124" "New York" "Columbia" 36021001200 0.8583 0.8781 0.6611 0.829 0.9002 1.71 0.07 17.09 18.98 0 0.88 0.14 0.59 2.71 2.35 0.07
"125" "New York" "Columbia" 36021001300 0.8295 0.6331 0.5491 0.6198 0.7546 2.22 0.08 10.11 22.61 3.32 0.05 0.11 1.25 2.1 1.66 0.03
"126" "New York" "Columbia" 36021001400 0.5602 0.3992 0.3164 0.9346 0.679 3.12 0.06 19.79 19.72 5.31 0.99 0.09 1.59 2.12 0.84 0.05
"127" "New York" "Columbia" 36021001900 0.2857 0.5184 0.1583 0.7083 0.4339 3.12 0.15 11.27 15.37 9.57 0.38 0.1 0.94 2.82 3.28 0.11
"128" "New York" "Columbia" 36021002000 0.251 0.0747 0.1854 0.7373 0.2771 2.66 0 25 0.36 0 0.03 0.15 0.03 0.09 2.53 0.13
"129" "New York" "Dutchess" 36027060100 0.4805 0.1505 0.6636 0.7657 0.5283 0.51 0.06 25 0.28 10 0.04 0.19 0.97 0.01 3.5 0.13
"130" "New York" "Dutchess" 36027060202 0.3853 0.5393 0.358 0.4234 0.4155 1.73 0.08 11.12 25 9.97 0 0.06 0 0.77 0.09 0.01
"131" "New York" "Dutchess" 36027070101 0.5155 0.7285 0.292 0.8576 0.6895 1.91 0.15 13.01 19.47 1.95 0.08 0.07 0 0.65 0 0.14
"132" "New York" "Dutchess" 36027070201 0.6113 0.6297 0.3265 0.9014 0.7344 1.55 0.04 18.77 1.51 10 0.02 0.26 0 0.4 0.19 0.15
"133" "New York" "Dutchess" 36027070401 0.2793 0.0945 0.5156 0.8877 0.4327 1.49 0.15 18.94 25 0 0 0.09 0 0.11 3.5 0.15
"134" "New York" "Dutchess" 36027140101 0.6808 0.0198 0.5469 0.6372 0.4165 1.91 0.15 19.66 1.24 4.9 0.16 0.1 0 0.32 0.01 0.15
"135" "New York" "Dutchess" 36027140500 0.4763 0.699 0.6434 0.7799 0.6805 2.12 0.06 8.96 3.08 10 0.21 0.16 1.46 1.87 2.74 0.02
"136" "New York" "Dutchess" 36027140602 0.2314 0.3513 0.4652 0.1237 0.1778 3.34 0.12 21.84 16.69 8.59 0.03 0.09 0.94 2.57 0.86 0.09
"137" "New York" "Dutchess" 36027140801 0.1128 0.8451 0.3709 0.6809 0.4506 1.42 0.15 24.59 0 0 0.4 0.13 0.07 0.02 0 0.15
"138" "New York" "Dutchess" 36027150003 0.3858 0.024 0.3921 0.573 0.2426 3.5 0.12 25 1.57 6.16 0.09 0.18 1.26 0.01 3.5 0.04
"139" "New York" "Dutchess" 36027160003 0.2672 0.4213 0.1952 0.6509 0.3817 1.91 0.08 17.67 25 0.07 0.1 0.12 0.02 0.44 0 0.09
"140" "New York" "Dutchess" 36027190301 0.1845 0.0593 0.5653 0.2382 0.1289 1.82 0.09 8.68 9.54 8.3 0.25 0.09 1.06 2.99 2.32 0.08
