,V1,V2,V3
1,1979,0,0
2,1980,0,0
3,1981,0,0
4,1982,0,0
5,1983,1,578.7
6,1984,0,0
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,4,1628
11,1989,1,0
12,1990,0,0
13,1991,1,669.71
14,1992,3,34791.97
15,1993,0,0
16,1994,2,2437.63
17,1995,0,0
18,1996,2,1228.85
19,1997,0,0
20,1998,1,1969.05
21,1999,1,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,2,1227.87
26,2004,1,0
27,2005,0,0
28,2006,0,0
29,2007,0,0
30,2008,0,0
31,2009,0,0
32,2010,5,43588.09
33,2011,50,255459.06
34,2012,449,16709122.27
35,2013,3,0
36,2014,1,0
37,2015,1,0
38,2016,1,0
39,2017,0,0
40,2018,0,0
41,2019,1,0
42,2020,0,0
43,2021,12,4311.58
