,V1,V2,V3
1,1979,0,0
2,1980,0,0
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,5,1174.79
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,1,1564
11,1989,0,0
12,1990,1,4288.14
13,1991,0,0
14,1992,54,458445.97
15,1993,1,0
16,1994,0,0
17,1995,0,0
18,1996,1,493.33
19,1997,0,0
20,1998,1,351.85
21,1999,0,0
22,2000,0,0
23,2001,2,1704.02
24,2002,1,0
25,2003,0,0
26,2004,0,0
27,2005,0,0
28,2006,0,0
29,2007,1,0
30,2008,0,0
31,2009,0,0
32,2010,13,72121.08
33,2011,69,553601.58
34,2012,228,11343462.82
35,2013,1,0
36,2014,3,10730.95
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,1,1776.42
41,2019,2,0
42,2020,0,0
43,2021,6,22817.73
