9009154700,,,
,V1,V2,V3
1,1979,8,10407.68
2,1980,16,12757.94
3,1981,0,0
4,1982,13,23071.97
5,1983,4,1048.8
6,1984,2,150
7,1985,6,7472.97
8,1986,1,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,0,0
14,1992,19,62370.79
15,1993,0,0
16,1994,0,0
17,1995,1,0
18,1996,7,2591.56
19,1997,0,0
20,1998,0,0
21,1999,1,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,1,1790.2
27,2005,0,0
28,2006,1,2526.23
29,2007,1,4012.34
30,2008,0,0
31,2009,0,0
32,2010,4,8509.28
33,2011,29,481977.68
34,2012,27,903067.86
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,0,0
41,2019,0,0
42,2020,0,0
43,2021,5,21916.82
